img_id,data_point_0,data_point_1,difference,difference_from_mean
1,1691849575570,1691849575698,-128,-31.0
2,1691849565499,1691849565603,-104,-7.0
3,1691849583722,1691849583819,-97,-0.0
4,1691849576026,1691849576163,-137,-40.0
5,1691849565275,1691849565371,-96,1.0
6,1691849583522,1691849583586,-64,33.0
7,1691849565042,1691849565139,-97,-0.0
8,1691849587379,1691849587514,-135,-38.0
9,1691849587282,1691849587410,-128,-31.0
10,1691849583259,1691849583354,-95,2.0
13,1691849572666,1691849572762,-96,1.0
15,1691849564579,1691849564674,-95,2.0
16,1691849568802,1691849568898,-96,1.0
17,1691849568603,1691849568674,-71,26.0
18,1691849590778,1691849590883,-105,-8.0
19,1691849580123,1691849580218,-95,2.0
20,1691849579890,1691849579986,-96,1.0
21,1691849590651,1691849590778,-127,-30.0
22,1691849569163,1691849569299,-136,-39.0
23,1691849569394,1691849569498,-104,-7.0
24,1691849568178,1691849568274,-96,1.0
25,1691849579690,1691849579794,-104,-7.0
26,1691849567946,1691849568042,-96,1.0
27,1691849569299,1691849569394,-95,2.0
28,1691849590546,1691849590651,-105,-8.0
29,1691849572034,1691849572106,-72,25.0
30,1691849572139,1691849572235,-96,1.0
31,1691849571874,1691849571971,-97,-0.0
32,1691849590018,1691849590090,-72,25.0
34,1691849580818,1691849580915,-97,-0.0
35,1691849590123,1691849590186,-63,34.0
36,1691849571275,1691849571411,-136,-39.0
38,1691849581043,1691849581146,-103,-6.0
39,1691849566195,1691849566258,-63,34.0
40,1691849571411,1691849571507,-96,1.0
41,1691849578243,1691849578338,-95,2.0
43,1691849575299,1691849575403,-104,-7.0
44,1691849575403,1691849575498,-95,2.0
45,1691849578075,1691849578138,-63,34.0
46,1691849583946,1691849584050,-104,-7.0
47,1691849586659,1691849586722,-63,34.0
49,1691849562403,1691849562466,-63,34.0
50,1691849584179,1691849584282,-103,-6.0
51,1691849562562,1691849562667,-105,-8.0
52,1691849586522,1691849586626,-104,-7.0
53,1691849574674,1691849574779,-105,-8.0
55,1691849562795,1691849562899,-104,-7.0
56,1691849574810,1691849574874,-64,33.0
57,1691849562795,1691849562931,-136,-39.0
58,1691849562602,1691849562698,-96,1.0
59,1691849574705,1691849574779,-74,23.0
60,1691849586555,1691849586659,-104,-7.0
62,1691849584179,1691849584282,-103,-6.0
63,1691849562403,1691849562499,-96,1.0
64,1691849583946,1691849584050,-104,-7.0
65,1691849586659,1691849586755,-96,1.0
67,1691849575403,1691849575498,-95,2.0
68,1691849575299,1691849575403,-104,-7.0
70,1691849578243,1691849578338,-95,2.0
71,1691849566195,1691849566299,-104,-7.0
72,1691849581082,1691849581146,-64,33.0
73,1691849571442,1691849571507,-65,32.0
74,1691849571314,1691849571411,-97,-0.0
75,1691849565963,1691849566066,-103,-6.0
77,1691849590123,1691849590219,-96,1.0
78,1691849590018,1691849590123,-105,-8.0
79,1691849571874,1691849571971,-97,-0.0
81,1691849572106,1691849572203,-97,-0.0
82,1691849572034,1691849572106,-72,25.0
83,1691849590546,1691849590618,-72,25.0
84,1691849567946,1691849568042,-96,1.0
86,1691849569426,1691849569530,-104,-7.0
87,1691849579722,1691849579827,-105,-8.0
88,1691849568178,1691849568274,-96,1.0
89,1691849579922,1691849580027,-105,-8.0
90,1691849569235,1691849569331,-96,1.0
93,1691849580154,1691849580251,-97,-0.0
94,1691849568570,1691849568674,-104,-7.0
95,1691849568802,1691849568898,-96,1.0
96,1691849587874,1691849587979,-105,-8.0
97,1691849572699,1691849572794,-95,2.0
98,1691849564579,1691849564674,-95,2.0
99,1691849564811,1691849564907,-96,1.0
101,1691849587347,1691849587410,-63,34.0
102,1691849583290,1691849583386,-96,1.0
104,1691849583522,1691849583619,-97,-0.0
106,1691849565275,1691849565371,-96,1.0
107,1691849583683,1691849583819,-136,-39.0
108,1691849565499,1691849565603,-104,-7.0
109,1691849576026,1691849576131,-105,-8.0
110,1691849575570,1691849575666,-96,1.0
111,1691849575802,1691849575898,-96,1.0
112,1691849575603,1691849575698,-95,2.0
114,1691849565202,1691849565338,-136,-39.0
115,1691849565499,1691849565570,-71,26.0
116,1691849583259,1691849583354,-95,2.0
117,1691849572562,1691849572666,-104,-7.0
118,1691849587347,1691849587450,-103,-6.0
119,1691849587450,1691849587547,-97,-0.0
120,1691849583491,1691849583586,-95,2.0
121,1691849564643,1691849564715,-72,25.0
122,1691849572666,1691849572762,-96,1.0
123,1691849572730,1691849572858,-128,-31.0
124,1691849583058,1691849583155,-97,-0.0
125,1691849564842,1691849564939,-97,-0.0
126,1691849568603,1691849568706,-103,-6.0
127,1691849580386,1691849580482,-96,1.0
128,1691849568835,1691849568939,-104,-7.0
129,1691849590651,1691849590746,-95,2.0
130,1691849579955,1691849580059,-104,-7.0
131,1691849568371,1691849568474,-103,-6.0
132,1691849580187,1691849580290,-103,-6.0
