img_id,data_point_0,data_point_1,difference,difference_from_mean
0,1700597153232,1700597153345,-113,6.0
1,1700597153010,1700597153122,-112,7.0
2,1700597152759,1700597152872,-113,6.0
3,1700597152507,1700597152649,-142,-23.0
4,1700597152285,1700597152396,-111,8.0
5,1700597156538,1700597156653,-115,4.0
6,1700597156288,1700597156428,-140,-21.0
7,1700597156930,1700597157041,-111,8.0
8,1700597157154,1700597157238,-84,35.0
9,1700597155867,1700597156005,-138,-19.0
10,1700597155645,1700597155780,-135,-16.0
11,1700597157017,1700597157154,-137,-18.0
12,1700597153680,1700597153767,-87,32.0
13,1700597153877,1700597154017,-140,-21.0
15,1700597150294,1700597150408,-114,5.0
16,1700597150521,1700597150632,-111,8.0
17,1700597150521,1700597150656,-135,-16.0
18,1700597150294,1700597150434,-140,-21.0
19,1700597150097,1700597150209,-112,7.0
20,1700597153905,1700597154017,-112,7.0
21,1700597153680,1700597153794,-114,5.0
22,1700597155672,1700597155780,-108,11.0
23,1700597157041,1700597157154,-113,6.0
24,1700597157154,1700597157264,-110,9.0
25,1700597155922,1700597156033,-111,8.0
26,1700597156930,1700597157070,-140,-21.0
27,1700597156288,1700597156400,-112,7.0
28,1700597156538,1700597156622,-84,35.0
29,1700597152285,1700597152421,-136,-17.0
30,1700597152534,1700597152649,-115,4.0
31,1700597152759,1700597152898,-139,-20.0
32,1700597153010,1700597153122,-112,7.0
33,1700597153209,1700597153345,-136,-17.0
34,1700597152957,1700597153066,-109,10.0
35,1700597153177,1700597153321,-144,-25.0
36,1700597152366,1700597152449,-83,36.0
37,1700597152589,1700597152674,-85,34.0
38,1700597156288,1700597156455,-167,-48.0
39,1700597156567,1700597156679,-112,7.0
40,1700597156117,1700597156232,-115,4.0
41,1700597157070,1700597157185,-115,4.0
42,1700597155645,1700597155755,-110,9.0
43,1700597155867,1700597155980,-113,6.0
44,1700597157185,1700597157295,-110,9.0
45,1700597153457,1700597153569,-112,7.0
46,1700597153877,1700597153992,-115,4.0
47,1700597153654,1700597153767,-113,6.0
48,1700597150577,1700597150686,-109,10.0
