img_id,data_point_0,data_point_1,difference,difference_from_mean
0,1691850381652,1691850386237,-4585,44.0
3,1691850380365,1691850385549,-5184,-555.0
4,1691850380365,1691850385317,-4952,-323.0
15,1691850380365,1691850385317,-4952,-323.0
16,1691850380365,1691850385549,-5184,-555.0
19,1691850381652,1691850386237,-4585,44.0
22,1691850380365,1691850385349,-4984,-355.0
24,1691850381652,1691850386468,-4816,-187.0
33,1691850381652,1691850386437,-4785,-156.0
35,1691850380365,1691850385349,-4984,-355.0
40,1691850380365,1691850385413,-5048,-419.0
41,1691850380365,1691850385517,-5152,-523.0
52,1691850380365,1691850385517,-5152,-523.0
53,1691850380365,1691850385413,-5048,-419.0
58,1691850380365,1691850385485,-5120,-491.0
59,1691850380365,1691850385381,-5016,-387.0
72,1691850380365,1691850385381,-5016,-387.0
73,1691850380365,1691850385485,-5120,-491.0
78,1691850382805,1691850387693,-4888,-259.0
79,1691850383829,1691850387892,-4063,566.0
80,1691850382740,1691850387461,-4721,-92.0
82,1691850382740,1691850387229,-4489,140.0
84,1691850380236,1691850384556,-4320,309.0
89,1691850380236,1691850384556,-4320,309.0
91,1691850382740,1691850387196,-4456,173.0
93,1691850382740,1691850387461,-4721,-92.0
94,1691850383829,1691850387925,-4096,533.0
95,1691850382805,1691850387693,-4888,-259.0
101,1691850383829,1691850387892,-4063,566.0
102,1691850382805,1691850387660,-4855,-226.0
103,1691850382740,1691850387229,-4489,140.0
105,1691850380236,1691850384589,-4353,276.0
106,1691850380236,1691850384357,-4121,508.0
113,1691850380236,1691850384357,-4121,508.0
114,1691850380236,1691850384589,-4353,276.0
116,1691850382740,1691850387261,-4521,108.0
117,1691850382805,1691850387629,-4824,-195.0
118,1691850383829,1691850387861,-4032,597.0
125,1691850383860,1691850387821,-3961,668.0
126,1691850382805,1691850387724,-4919,-290.0
127,1691850382740,1691850387196,-4456,173.0
129,1691850380236,1691850384493,-4257,372.0
130,1691850380236,1691850384421,-4185,444.0
137,1691850380236,1691850384421,-4185,444.0
138,1691850380236,1691850384525,-4289,340.0
140,1691850382740,1691850387196,-4456,173.0
141,1691850382805,1691850387724,-4919,-290.0
142,1691850383860,1691850387821,-3961,668.0
148,1691850382805,1691850387756,-4951,-322.0
149,1691850383860,1691850387861,-4001,628.0
151,1691850382740,1691850387133,-4393,236.0
152,1691850382805,1691850387597,-4792,-163.0
153,1691850380236,1691850384388,-4152,477.0
154,1691850380236,1691850384493,-4257,372.0
159,1691850380236,1691850384493,-4257,372.0
160,1691850380236,1691850384388,-4152,477.0
161,1691850382805,1691850387629,-4824,-195.0
162,1691850382740,1691850387164,-4424,205.0
164,1691850383860,1691850387861,-4001,628.0
165,1691850382805,1691850387756,-4951,-322.0
172,1691850382740,1691850387292,-4552,77.0
173,1691850382805,1691850387557,-4752,-123.0
174,1691850380236,1691850384461,-4225,404.0
175,1691850379045,1691850384029,-4984,-355.0
178,1691850379045,1691850384029,-4984,-355.0
179,1691850380236,1691850384421,-4185,444.0
180,1691850382805,1691850387557,-4752,-123.0
181,1691850382740,1691850387333,-4593,36.0
188,1691850382805,1691850387756,-4951,-322.0
189,1691850382805,1691850387597,-4792,-163.0
190,1691850382740,1691850387364,-4624,5.0
197,1691850382740,1691850387333,-4593,36.0
198,1691850382805,1691850387557,-4752,-123.0
199,1691850382805,1691850387789,-4984,-355.0
205,1691850380365,1691850385284,-4919,-290.0
207,1691850382805,1691850387525,-4720,-91.0
208,1691850382740,1691850387397,-4657,-28.0
215,1691850382740,1691850387429,-4689,-60.0
216,1691850382805,1691850387525,-4720,-91.0
217,1691850383860,1691850387957,-4097,532.0
218,1691850380365,1691850385284,-4919,-290.0
223,1691850382740,1691850387397,-4657,-28.0
224,1691850382805,1691850387493,-4688,-59.0
225,1691850382740,1691850387292,-4552,77.0
226,1691850380236,1691850384621,-4385,244.0
231,1691850380236,1691850384621,-4385,244.0
232,1691850382740,1691850387261,-4521,108.0
233,1691850382805,1691850387461,-4656,-27.0
234,1691850382740,1691850387397,-4657,-28.0
237,1691850380365,1691850385445,-5080,-451.0
240,1691850381652,1691850386373,-4721,-92.0
248,1691850381652,1691850386341,-4689,-60.0
251,1691850380365,1691850385445,-5080,-451.0
254,1691850381621,1691850385908,-4287,342.0
257,1691850381652,1691850386309,-4657,-28.0
262,1691850381652,1691850386309,-4657,-28.0
268,1691850381652,1691850386276,-4624,5.0
271,1691850381652,1691850386501,-4849,-220.0
272,1691850381652,1691850386405,-4753,-124.0
279,1691850381652,1691850386373,-4721,-92.0
280,1691850381652,1691850386468,-4816,-187.0
283,1691850381652,1691850386276,-4624,5.0
287,1691850381652,1691850386405,-4753,-124.0
288,1691850381652,1691850386501,-4849,-220.0
296,1691850381652,1691850386437,-4785,-156.0
