img_id,data_point_0,data_point_1,difference,difference_from_mean
0,1700658910463,1700658910573,-110,7.0
1,1700658910237,1700658910351,-114,3.0
2,1700658909959,1700658910096,-137,-20.0
3,1700658909733,1700658909847,-114,3.0
4,1700658909509,1700658909623,-114,3.0
5,1700658910879,1700658910992,-113,4.0
6,1700658911103,1700658911217,-114,3.0
7,1700658907295,1700658907408,-113,4.0
8,1700658907491,1700658907633,-142,-25.0
9,1700658907748,1700658907854,-106,11.0
10,1700658907773,1700658907887,-114,3.0
11,1700658907519,1700658907633,-114,3.0
12,1700658907322,1700658907438,-116,1.0
13,1700658911132,1700658911244,-112,5.0
14,1700658910879,1700658910992,-113,4.0
15,1700658909509,1700658909647,-138,-21.0
16,1700658909760,1700658909872,-112,5.0
17,1700658909983,1700658910096,-113,4.0
18,1700658910208,1700658910320,-112,5.0
19,1700658910463,1700658910543,-80,37.0
20,1700658910151,1700658910294,-143,-26.0
21,1700658910404,1700658910518,-114,3.0
22,1700658909536,1700658909674,-138,-21.0
23,1700658909791,1700658909902,-111,6.0
24,1700658910683,1700658910767,-84,33.0
25,1700658911078,1700658911217,-139,-22.0
26,1700658910854,1700658910966,-112,5.0
27,1700658907773,1700658907913,-140,-23.0
28,1700658907578,1700658907663,-85,32.0
29,1700658907519,1700658907663,-144,-27.0
30,1700658907773,1700658907887,-114,3.0
31,1700658910824,1700658910966,-142,-25.0
32,1700658911078,1700658911191,-113,4.0
33,1700658910629,1700658910767,-138,-21.0
34,1700658909791,1700658909872,-81,36.0
35,1700658909536,1700658909647,-111,6.0
36,1700658910404,1700658910543,-139,-22.0
37,1700658910181,1700658910320,-139,-22.0
38,1700658910267,1700658910379,-112,5.0
39,1700658910351,1700658910488,-137,-20.0
40,1700658909595,1700658909733,-138,-21.0
41,1700658909705,1700658909819,-114,3.0
42,1700658910992,1700658911132,-140,-23.0
43,1700658910910,1700658911021,-111,6.0
44,1700658910795,1700658910937,-142,-25.0
45,1700658907716,1700658907829,-113,4.0
46,1700658907607,1700658907716,-109,8.0
47,1700658907607,1700658907748,-141,-24.0
48,1700658907716,1700658907829,-113,4.0
49,1700658910824,1700658910937,-113,4.0
50,1700658910937,1700658911021,-84,33.0
51,1700658910992,1700658911132,-140,-23.0
52,1700658909733,1700658909847,-114,3.0
53,1700658909623,1700658909733,-110,7.0
54,1700658910351,1700658910463,-112,5.0
55,1700658910237,1700658910351,-114,3.0
56,1700658910379,1700658910488,-109,8.0
57,1700658910267,1700658910404,-137,-20.0
58,1700658909705,1700658909791,-86,31.0
59,1700658909595,1700658909705,-110,7.0
60,1700658910151,1700658910267,-116,1.0
61,1700658910966,1700658911078,-112,5.0
62,1700658911051,1700658911160,-109,8.0
63,1700658907578,1700658907716,-138,-21.0
64,1700658907691,1700658907799,-108,9.0
65,1700658907491,1700658907607,-116,1.0
66,1700658907491,1700658907578,-87,30.0
67,1700658907663,1700658907799,-136,-19.0
68,1700658907578,1700658907691,-113,4.0
69,1700658911051,1700658911160,-109,8.0
70,1700658910937,1700658911051,-114,3.0
71,1700658910124,1700658910267,-143,-26.0
72,1700658909563,1700658909674,-111,6.0
73,1700658909674,1700658909791,-117,0.0
74,1700658910294,1700658910404,-110,7.0
75,1700658910404,1700658910488,-84,33.0
76,1700658909451,1700658909563,-112,5.0
77,1700658909229,1700658909341,-112,5.0
78,1700658911886,1700658912000,-114,3.0
79,1700658912087,1700658912223,-136,-19.0
80,1700658911662,1700658911777,-115,2.0
81,1700658911191,1700658911303,-112,5.0
82,1700658911415,1700658911550,-135,-18.0
83,1700658908528,1700658908613,-85,32.0
84,1700658908723,1700658908863,-140,-23.0
85,1700658907887,1700658907998,-111,6.0
86,1700658908081,1700658908247,-166,-49.0
87,1700658908081,1700658908223,-142,-25.0
88,1700658907887,1700658907971,-84,33.0
89,1700658908753,1700658908863,-110,7.0
90,1700658908528,1700658908639,-111,6.0
91,1700658911415,1700658911525,-110,7.0
92,1700658911191,1700658911275,-84,33.0
93,1700658911638,1700658911751,-113,4.0
94,1700658912111,1700658912252,-141,-24.0
95,1700658911886,1700658912000,-114,3.0
96,1700658909229,1700658909312,-83,34.0
97,1700658909424,1700658909563,-139,-22.0
98,1700658908975,1700658909087,-112,5.0
99,1700658909175,1700658909285,-110,7.0
100,1700658909397,1700658909536,-139,-22.0
101,1700658912087,1700658912198,-111,6.0
102,1700658911834,1700658911972,-138,-21.0
103,1700658911440,1700658911550,-110,7.0
105,1700658908779,1700658908920,-141,-24.0
106,1700658908557,1700658908671,-114,3.0
107,1700658908302,1700658908416,-114,3.0
108,1700658908055,1700658908192,-137,-20.0
109,1700658907829,1700658907939,-110,7.0
110,1700658907829,1700658907971,-142,-25.0
111,1700658908081,1700658908192,-111,6.0
112,1700658908302,1700658908447,-145,-28.0
113,1700658908557,1700658908671,-114,3.0
114,1700658908753,1700658908893,-140,-23.0
115,1700658911244,1700658911329,-85,32.0
116,1700658911440,1700658911579,-139,-22.0
117,1700658911834,1700658911947,-113,4.0
118,1700658912058,1700658912198,-140,-23.0
119,1700658909424,1700658909536,-112,5.0
120,1700658909175,1700658909312,-137,-20.0
121,1700658909006,1700658909119,-113,4.0
122,1700658909229,1700658909371,-142,-25.0
123,1700658909341,1700658909481,-140,-23.0
124,1700658909175,1700658909259,-84,33.0
125,1700658912000,1700658912111,-111,6.0
126,1700658911886,1700658912029,-143,-26.0
127,1700658911415,1700658911498,-83,34.0
128,1700658911303,1700658911415,-112,5.0
129,1700658908697,1700658908808,-111,6.0
130,1700658908587,1700658908723,-136,-19.0
131,1700658908024,1700658908137,-113,4.0
132,1700658907939,1700658908024,-85,32.0
133,1700658908501,1700658908613,-112,5.0
134,1700658908471,1700658908587,-116,1.0
135,1700658907887,1700658908024,-137,-20.0
136,1700658908024,1700658908137,-113,4.0
137,1700658908639,1700658908723,-84,33.0
138,1700658908723,1700658908838,-115,2.0
139,1700658911275,1700658911383,-108,9.0
140,1700658911358,1700658911498,-140,-23.0
141,1700658911916,1700658912029,-113,4.0
142,1700658912000,1700658912142,-142,-25.0
143,1700658909144,1700658909259,-115,2.0
144,1700658909341,1700658909451,-110,7.0
145,1700658909229,1700658909341,-112,5.0
146,1700658909397,1700658909481,-84,33.0
147,1700658909285,1700658909397,-112,5.0
148,1700658911972,1700658912058,-86,31.0
149,1700658912058,1700658912169,-111,6.0
150,1700658911244,1700658911358,-114,3.0
151,1700658911358,1700658911469,-111,6.0
152,1700658911807,1700658911916,-109,8.0
153,1700658908587,1700658908697,-110,7.0
154,1700658908697,1700658908808,-111,6.0
155,1700658907939,1700658908055,-116,1.0
156,1700658908055,1700658908164,-109,8.0
157,1700658908055,1700658908164,-109,8.0
158,1700658907939,1700658908081,-142,-25.0
159,1700658908697,1700658908779,-82,35.0
160,1700658908587,1700658908697,-110,7.0
161,1700658911834,1700658911947,-113,4.0
162,1700658911358,1700658911469,-111,6.0
163,1700658911275,1700658911383,-108,9.0
164,1700658912058,1700658912169,-111,6.0
165,1700658911916,1700658912058,-142,-25.0
166,1700658909285,1700658909397,-112,5.0
167,1700658909397,1700658909509,-112,5.0
168,1700658909119,1700658909229,-110,7.0
169,1700658908863,1700658908975,-112,5.0
170,1700658912169,1700658912283,-114,3.0
171,1700658911303,1700658911415,-112,5.0
172,1700658911525,1700658911638,-113,4.0
173,1700658911718,1700658911861,-143,-26.0
174,1700658908639,1700658908779,-140,-23.0
175,1700658908192,1700658908333,-141,-24.0
176,1700658908447,1700658908557,-110,7.0
177,1700658908447,1700658908557,-110,7.0
178,1700658908223,1700658908333,-110,7.0
179,1700658908639,1700658908753,-114,3.0
180,1700658911751,1700658911861,-110,7.0
181,1700658911525,1700658911638,-113,4.0
182,1700658911303,1700658911440,-137,-20.0
183,1700658908893,1700658909006,-113,4.0
184,1700658909119,1700658909229,-110,7.0
185,1700658909341,1700658909424,-83,34.0
186,1700658908838,1700658908975,-137,-20.0
187,1700658909087,1700658909200,-113,4.0
188,1700658911972,1700658912087,-115,2.0
189,1700658911777,1700658911916,-139,-22.0
190,1700658911550,1700658911662,-112,5.0
191,1700658907998,1700658908109,-111,6.0
192,1700658908416,1700658908528,-112,5.0
193,1700658908192,1700658908302,-110,7.0
194,1700658908164,1700658908279,-115,2.0
195,1700658908416,1700658908528,-112,5.0
196,1700658907998,1700658908081,-83,34.0
197,1700658911525,1700658911662,-137,-20.0
198,1700658911777,1700658911886,-109,8.0
199,1700658911972,1700658912111,-139,-22.0
200,1700658909063,1700658909200,-137,-20.0
201,1700658908838,1700658908951,-113,4.0
202,1700658909285,1700658909424,-139,-22.0
203,1700658908893,1700658909034,-141,-24.0
204,1700658909006,1700658909119,-113,4.0
205,1700658909509,1700658909595,-86,31.0
206,1700658912142,1700658912283,-141,-24.0
207,1700658911694,1700658911807,-113,4.0
208,1700658911611,1700658911718,-107,10.0
209,1700658908333,1700658908471,-138,-21.0
210,1700658908223,1700658908359,-136,-19.0
211,1700658908164,1700658908247,-83,34.0
212,1700658908164,1700658908279,-115,2.0
213,1700658908247,1700658908387,-140,-23.0
214,1700658908387,1700658908471,-84,33.0
215,1700658911611,1700658911751,-140,-23.0
216,1700658911718,1700658911834,-116,1.0
217,1700658912142,1700658912252,-110,7.0
218,1700658909509,1700658909595,-86,31.0
219,1700658909034,1700658909144,-110,7.0
220,1700658908920,1700658909034,-114,3.0
221,1700658909063,1700658909175,-112,5.0
222,1700658908951,1700658909087,-136,-19.0
223,1700658911579,1700658911718,-139,-22.0
224,1700658911694,1700658911807,-113,4.0
225,1700658911469,1700658911611,-142,-25.0
226,1700658908808,1700658908920,-112,5.0
227,1700658908279,1700658908416,-137,-20.0
228,1700658908387,1700658908501,-114,3.0
229,1700658908387,1700658908501,-114,3.0
230,1700658908279,1700658908387,-108,9.0
231,1700658908808,1700658908951,-143,-26.0
232,1700658911469,1700658911579,-110,7.0
233,1700658911662,1700658911777,-115,2.0
234,1700658911579,1700658911694,-115,2.0
235,1700658908920,1700658909063,-143,-26.0
236,1700658909034,1700658909144,-110,7.0
237,1700658909647,1700658909760,-113,4.0
238,1700658910096,1700658910208,-112,5.0
239,1700658909872,1700658909959,-87,30.0
240,1700658910573,1700658910683,-110,7.0
241,1700658910767,1700658910910,-143,-26.0
242,1700658907663,1700658907773,-110,7.0
243,1700658907183,1700658907295,-112,5.0
244,1700658907408,1700658907550,-142,-25.0
245,1700658907408,1700658907519,-111,6.0
246,1700658907633,1700658907748,-115,2.0
247,1700658910767,1700658910879,-112,5.0
248,1700658910518,1700658910656,-138,-21.0
249,1700658909819,1700658909959,-140,-23.0
250,1700658910067,1700658910181,-114,3.0
251,1700658909647,1700658909760,-113,4.0
252,1700658910320,1700658910432,-112,5.0
253,1700658909872,1700658909983,-111,6.0
254,1700658910096,1700658910237,-141,-24.0
255,1700658910966,1700658911103,-137,-20.0
256,1700658910739,1700658910854,-115,2.0
257,1700658910518,1700658910629,-111,6.0
258,1700658907464,1700658907550,-86,31.0
259,1700658907211,1700658907322,-111,6.0
260,1700658907211,1700658907322,-111,6.0
261,1700658907464,1700658907578,-114,3.0
262,1700658910518,1700658910629,-111,6.0
263,1700658910739,1700658910879,-140,-23.0
264,1700658910966,1700658911103,-137,-20.0
265,1700658910124,1700658910237,-113,4.0
266,1700658909872,1700658910013,-141,-24.0
267,1700658910294,1700658910432,-138,-21.0
268,1700658910488,1700658910600,-112,5.0
269,1700658909959,1700658910067,-108,9.0
270,1700658910043,1700658910181,-138,-21.0
271,1700658910683,1700658910795,-112,5.0
272,1700658910573,1700658910712,-139,-22.0
273,1700658911160,1700658911275,-115,2.0
274,1700658907408,1700658907491,-83,34.0
275,1700658907295,1700658907408,-113,4.0
276,1700658907266,1700658907378,-112,5.0
277,1700658907378,1700658907491,-113,4.0
278,1700658911132,1700658911244,-112,5.0
279,1700658910573,1700658910683,-110,7.0
280,1700658910683,1700658910795,-112,5.0
281,1700658910013,1700658910151,-138,-21.0
282,1700658909959,1700658910067,-108,9.0
283,1700658910488,1700658910600,-112,5.0
284,1700658909983,1700658910124,-141,-24.0
285,1700658909929,1700658910013,-84,33.0
286,1700658909819,1700658909929,-110,7.0
287,1700658910629,1700658910712,-83,34.0
288,1700658910712,1700658910824,-112,5.0
289,1700658907239,1700658907355,-116,1.0
290,1700658907355,1700658907464,-109,8.0
291,1700658907799,1700658907913,-114,3.0
292,1700658907829,1700658907939,-110,7.0
293,1700658907355,1700658907464,-109,8.0
294,1700658907239,1700658907378,-139,-22.0
295,1700658910712,1700658910854,-142,-25.0
296,1700658910629,1700658910739,-110,7.0
297,1700658909819,1700658909929,-110,7.0
