img_id,data_point_0,data_point_1,difference,difference_from_mean
0,1700659011762,1700659011904,-142,1.0
1,1700659011514,1700659011652,-138,5.0
2,1700659011289,1700659011427,-138,5.0
3,1700659011064,1700659011177,-113,30.0
4,1700659010810,1700659010953,-143,0.0
5,1700659012158,1700659012323,-165,-22.0
6,1700659012382,1700659012548,-166,-23.0
7,1700659008597,1700659008739,-142,1.0
8,1700659008797,1700659008938,-141,2.0
9,1700659009047,1700659009189,-142,1.0
10,1700659009047,1700659009189,-142,1.0
11,1700659008823,1700659008963,-140,3.0
12,1700659008630,1700659008770,-140,3.0
13,1700659012438,1700659012548,-110,33.0
14,1700659012188,1700659012323,-135,8.0
15,1700659010810,1700659010953,-143,0.0
16,1700659011064,1700659011206,-142,1.0
17,1700659011289,1700659011427,-138,5.0
18,1700659011514,1700659011652,-138,5.0
19,1700659011739,1700659011878,-139,4.0
20,1700659011458,1700659011623,-165,-22.0
21,1700659011680,1700659011845,-165,-22.0
22,1700659010837,1700659010978,-141,2.0
23,1700659011064,1700659011236,-172,-29.0
24,1700659011935,1700659012100,-165,-22.0
25,1700659012382,1700659012523,-141,2.0
26,1700659012158,1700659012294,-136,7.0
27,1700659009078,1700659009214,-136,7.0
28,1700659008855,1700659008994,-139,4.0
29,1700659008823,1700659008963,-140,3.0
30,1700659009078,1700659009214,-136,7.0
31,1700659012100,1700659012266,-166,-23.0
32,1700659012350,1700659012493,-143,0.0
33,1700659011935,1700659012078,-143,0.0
34,1700659011064,1700659011206,-142,1.0
35,1700659010837,1700659010978,-141,2.0
36,1700659011680,1700659011845,-165,-22.0
37,1700659011458,1700659011623,-165,-22.0
38,1700659011569,1700659011708,-139,4.0
39,1700659011680,1700659011793,-113,30.0
40,1700659010897,1700659011040,-143,0.0
41,1700659011010,1700659011150,-140,3.0
42,1700659012294,1700659012438,-144,-1.0
43,1700659012215,1700659012350,-135,8.0
44,1700659012100,1700659012238,-138,5.0
45,1700659008994,1700659009133,-139,4.0
47,1700659008938,1700659009047,-109,34.0
48,1700659009025,1700659009161,-136,7.0
49,1700659012100,1700659012266,-166,-23.0
50,1700659012215,1700659012350,-135,8.0
51,1700659012323,1700659012466,-143,0.0
52,1700659011010,1700659011177,-167,-24.0
53,1700659010897,1700659011064,-167,-24.0
54,1700659011652,1700659011762,-110,33.0
55,1700659011539,1700659011680,-141,2.0
56,1700659011680,1700659011819,-139,4.0
57,1700659011569,1700659011708,-139,4.0
58,1700659011010,1700659011120,-110,33.0
59,1700659010870,1700659011040,-170,-27.0
60,1700659011458,1700659011596,-138,5.0
61,1700659012215,1700659012382,-167,-24.0
62,1700659012323,1700659012493,-170,-27.0
64,1700659008994,1700659009133,-139,4.0
65,1700659008770,1700659008938,-168,-25.0
66,1700659008770,1700659008907,-137,6.0
68,1700659008855,1700659009025,-170,-27.0
69,1700659012323,1700659012466,-143,0.0
70,1700659012215,1700659012382,-167,-24.0
71,1700659011427,1700659011569,-142,1.0
72,1700659010870,1700659011010,-140,3.0
73,1700659010953,1700659011120,-167,-24.0
74,1700659011569,1700659011708,-139,4.0
75,1700659011680,1700659011819,-139,4.0
76,1700659010755,1700659010897,-142,1.0
77,1700659010504,1700659010672,-168,-25.0
78,1700659013136,1700659013304,-168,-25.0
79,1700659013420,1700659013558,-138,5.0
80,1700659012945,1700659013109,-164,-21.0
82,1700659012690,1700659012857,-167,-24.0
83,1700659009805,1700659009944,-139,4.0
84,1700659010028,1700659010170,-142,1.0
85,1700659009189,1700659009327,-138,5.0
86,1700659009382,1700659009550,-168,-25.0
87,1700659009382,1700659009550,-168,-25.0
88,1700659009189,1700659009301,-112,31.0
89,1700659010028,1700659010198,-170,-27.0
90,1700659009805,1700659009944,-139,4.0
