img_id,data_point_0,data_point_1,difference,difference_from_mean
1,1700659098200,1700659098340,-140,-3.0
2,1700659097976,1700659098089,-113,24.0
3,1700659097754,1700659097864,-110,27.0
4,1700659097473,1700659097610,-137,-0.0
5,1700659098869,1700659098985,-116,21.0
6,1700659099093,1700659099234,-141,-4.0
7,1700659095290,1700659095427,-137,-0.0
9,1700659095734,1700659095848,-114,23.0
10,1700659095734,1700659095874,-140,-3.0
11,1700659095511,1700659095654,-143,-6.0
12,1700659095290,1700659095454,-164,-27.0
13,1700659099120,1700659099234,-114,23.0
14,1700659098869,1700659099013,-144,-7.0
15,1700659097498,1700659097640,-142,-5.0
16,1700659097754,1700659097864,-110,27.0
17,1700659097976,1700659098113,-137,-0.0
18,1700659098200,1700659098340,-140,-3.0
19,1700659098420,1700659098565,-145,-8.0
20,1700659098170,1700659098282,-112,25.0
21,1700659098394,1700659098534,-140,-3.0
22,1700659097528,1700659097667,-139,-2.0
23,1700659097777,1700659097919,-142,-5.0
24,1700659098649,1700659098761,-112,25.0
25,1700659099065,1700659099209,-144,-7.0
26,1700659098813,1700659098985,-172,-35.0
27,1700659095817,1700659095904,-87,50.0
28,1700659095537,1700659095679,-142,-5.0
29,1700659095511,1700659095654,-143,-6.0
30,1700659095763,1700659095904,-141,-4.0
31,1700659098813,1700659098954,-141,-4.0
32,1700659099065,1700659099178,-113,24.0
33,1700659098618,1700659098761,-143,-6.0
34,1700659097777,1700659097892,-115,22.0
35,1700659097528,1700659097667,-139,-2.0
36,1700659098420,1700659098534,-114,23.0
37,1700659098170,1700659098309,-139,-2.0
38,1700659098226,1700659098369,-143,-6.0
39,1700659098369,1700659098479,-110,27.0
40,1700659097581,1700659097723,-142,-5.0
41,1700659097697,1700659097834,-137,-0.0
43,1700659098901,1700659099038,-137,-0.0
44,1700659098788,1700659098926,-138,-1.0
45,1700659095705,1700659095817,-112,25.0
46,1700659095594,1700659095734,-140,-3.0
47,1700659095622,1700659095734,-112,25.0
48,1700659095734,1700659095848,-114,23.0
49,1700659098813,1700659098954,-141,-4.0
50,1700659098901,1700659099038,-137,-0.0
52,1700659097723,1700659097834,-111,26.0
53,1700659097610,1700659097754,-144,-7.0
54,1700659098309,1700659098450,-141,-4.0
55,1700659098200,1700659098369,-169,-32.0
56,1700659098369,1700659098479,-110,27.0
57,1700659098226,1700659098394,-168,-31.0
58,1700659097697,1700659097809,-112,25.0
59,1700659097581,1700659097697,-116,21.0
60,1700659098142,1700659098282,-140,-3.0
61,1700659098954,1700659099065,-111,26.0
62,1700659099038,1700659099178,-140,-3.0
63,1700659095567,1700659095705,-138,-1.0
64,1700659095622,1700659095817,-195,-58.0
65,1700659095481,1700659095622,-141,-4.0
66,1700659095454,1700659095594,-140,-3.0
67,1700659095622,1700659095793,-171,-34.0
68,1700659095537,1700659095679,-142,-5.0
69,1700659099038,1700659099152,-114,23.0
70,1700659098926,1700659099065,-139,-2.0
71,1700659098089,1700659098257,-168,-31.0
72,1700659097528,1700659097697,-169,-32.0
73,1700659097640,1700659097777,-137,-0.0
74,1700659098282,1700659098420,-138,-1.0
75,1700659098394,1700659098506,-112,25.0
76,1700659097445,1700659097581,-136,1.0
77,1700659097193,1700659097330,-137,-0.0
78,1700659099848,1700659099990,-142,-5.0
79,1700659100046,1700659100216,-170,-33.0
80,1700659099653,1700659099769,-116,21.0
81,1700659099178,1700659099321,-143,-6.0
82,1700659099402,1700659099543,-141,-4.0
83,1700659096494,1700659096631,-137,-0.0
84,1700659096718,1700659096856,-138,-1.0
85,1700659095848,1700659096013,-165,-28.0
86,1700659096100,1700659096237,-137,-0.0
87,1700659096073,1700659096237,-164,-27.0
88,1700659095848,1700659095989,-141,-4.0
89,1700659096718,1700659096885,-167,-30.0
90,1700659096520,1700659096631,-111,26.0
91,1700659099402,1700659099514,-112,25.0
92,1700659099178,1700659099290,-112,25.0
94,1700659100046,1700659100245,-199,-62.0
95,1700659099878,1700659100020,-142,-5.0
96,1700659097193,1700659097330,-137,-0.0
97,1700659097415,1700659097558,-143,-6.0
98,1700659096967,1700659097106,-139,-2.0
99,1700659097161,1700659097304,-143,-6.0
100,1700659097386,1700659097528,-142,-5.0
101,1700659100046,1700659100216,-170,-33.0
102,1700659099822,1700659099990,-168,-31.0
103,1700659099429,1700659099569,-140,-3.0
104,1700659099209,1700659099321,-112,25.0
106,1700659096520,1700659096689,-169,-32.0
108,1700659096073,1700659096183,-110,27.0
109,1700659095817,1700659095958,-141,-4.0
110,1700659095848,1700659095989,-141,-4.0
111,1700659096073,1700659096208,-135,2.0
112,1700659096294,1700659096436,-142,-5.0
113,1700659096520,1700659096659,-139,-2.0
114,1700659096743,1700659096885,-142,-5.0
115,1700659099209,1700659099346,-137,-0.0
117,1700659099822,1700659099963,-141,-4.0
118,1700659100046,1700659100186,-140,-3.0
119,1700659097415,1700659097528,-113,24.0
120,1700659097193,1700659097304,-111,26.0
121,1700659096967,1700659097106,-139,-2.0
122,1700659097244,1700659097386,-142,-5.0
123,1700659097360,1700659097473,-113,24.0
124,1700659097134,1700659097275,-141,-4.0
125,1700659099990,1700659100132,-142,-5.0
126,1700659099878,1700659100020,-142,-5.0
127,1700659099346,1700659099514,-168,-31.0
128,1700659099265,1700659099402,-137,-0.0
129,1700659096689,1700659096827,-138,-1.0
130,1700659096574,1700659096718,-144,-7.0
131,1700659096013,1700659096127,-114,23.0
132,1700659095904,1700659096044,-140,-3.0
133,1700659096464,1700659096605,-141,-4.0
134,1700659096436,1700659096574,-138,-1.0
135,1700659095904,1700659096013,-109,28.0
136,1700659095989,1700659096127,-138,-1.0
137,1700659096605,1700659096743,-138,-1.0
138,1700659096718,1700659096856,-138,-1.0
139,1700659099265,1700659099402,-137,-0.0
140,1700659099346,1700659099490,-144,-7.0
141,1700659099910,1700659100046,-136,1.0
142,1700659099990,1700659100132,-142,-5.0
143,1700659097134,1700659097244,-110,27.0
144,1700659097330,1700659097473,-143,-6.0
146,1700659097360,1700659097498,-138,-1.0
147,1700659097244,1700659097386,-142,-5.0
