img_id,data_point_0,data_point_1,difference,difference_from_mean
0,1700654991521,1700654993343,-1822,201.0
1,1700654991492,1700654993115,-1623,400.0
2,1700654991492,1700654992866,-1374,649.0
3,1700654990430,1700654992615,-2185,-162.0
4,1700654990372,1700654992391,-2019,4.0
5,1700654991550,1700654993773,-2223,-200.0
6,1700654992251,1700654993985,-1734,289.0
7,1700654988216,1700654990204,-1988,35.0
8,1700654988245,1700654990403,-2158,-135.0
9,1700654988945,1700654990624,-1679,344.0
10,1700654988945,1700654990654,-1709,314.0
11,1700654988245,1700654990403,-2158,-135.0
12,1700654988216,1700654990204,-1988,35.0
13,1700654992251,1700654994013,-1762,261.0
14,1700654991550,1700654993788,-2238,-215.0
15,1700654990372,1700654992417,-2045,-22.0
16,1700654990430,1700654992642,-2212,-189.0
17,1700654991492,1700654992866,-1374,649.0
18,1700654991492,1700654993087,-1595,428.0
19,1700654991521,1700654993313,-1792,231.0
20,1700654991492,1700654993034,-1542,481.0
21,1700654991521,1700654993283,-1762,261.0
22,1700654990372,1700654992443,-2071,-48.0
23,1700654990430,1700654992671,-2241,-218.0
24,1700654991521,1700654993537,-2016,7.0
25,1700654992251,1700654993985,-1734,289.0
26,1700654991550,1700654993733,-2183,-160.0
27,1700654988945,1700654990678,-1733,290.0
28,1700654988245,1700654990457,-2212,-189.0
29,1700654988245,1700654990430,-2185,-162.0
30,1700654988945,1700654990654,-1709,314.0
31,1700654991550,1700654993733,-2183,-160.0
32,1700654992251,1700654993959,-1708,315.0
33,1700654991521,1700654993537,-2016,7.0
34,1700654990430,1700654992671,-2241,-218.0
35,1700654990372,1700654992417,-2045,-22.0
36,1700654991521,1700654993313,-1792,231.0
37,1700654991492,1700654993087,-1595,428.0
38,1700654991492,1700654993147,-1655,368.0
39,1700654991521,1700654993258,-1737,286.0
40,1700654990372,1700654992502,-2130,-107.0
41,1700654990430,1700654992584,-2154,-131.0
42,1700654992251,1700654993903,-1652,371.0
43,1700654991550,1700654993788,-2238,-215.0
44,1700654991550,1700654993702,-2152,-129.0
45,1700654988945,1700654990595,-1650,373.0
46,1700654988245,1700654990487,-2242,-219.0
47,1700654988945,1700654990512,-1567,456.0
48,1700654988945,1700654990624,-1679,344.0
49,1700654991550,1700654993702,-2152,-129.0
50,1700654991550,1700654993817,-2267,-244.0
51,1700654992251,1700654993903,-1652,371.0
52,1700654990430,1700654992615,-2185,-162.0
53,1700654990372,1700654992502,-2130,-107.0
54,1700654991521,1700654993229,-1708,315.0
55,1700654991492,1700654993115,-1623,400.0
56,1700654991521,1700654993258,-1737,286.0
57,1700654991492,1700654993147,-1655,368.0
58,1700654990430,1700654992584,-2154,-131.0
59,1700654990372,1700654992479,-2107,-84.0
60,1700654991492,1700654993034,-1542,481.0
61,1700654991550,1700654993846,-2296,-273.0
62,1700654992251,1700654993930,-1679,344.0
63,1700654988245,1700654990487,-2242,-219.0
64,1700654988945,1700654990571,-1626,397.0
65,1700654988245,1700654990372,-2127,-104.0
66,1700654988245,1700654990372,-2127,-104.0
67,1700654988945,1700654990571,-1626,397.0
68,1700654988245,1700654990457,-2212,-189.0
69,1700654992251,1700654993930,-1679,344.0
70,1700654991550,1700654993817,-2267,-244.0
71,1700654991492,1700654993034,-1542,481.0
72,1700654990372,1700654992443,-2071,-48.0
73,1700654990372,1700654992571,-2199,-176.0
74,1700654991492,1700654993178,-1686,337.0
75,1700654991521,1700654993283,-1762,261.0
76,1700654990372,1700654992334,-1962,61.0
77,1700654989701,1700654992114,-2413,-390.0
78,1700654992895,1700654994768,-1873,150.0
79,1700654992923,1700654994992,-2069,-46.0
80,1700654992307,1700654994545,-2238,-215.0
81,1700654992251,1700654994068,-1817,206.0
82,1700654992307,1700654994323,-2016,7.0
83,1700654989003,1700654991383,-2380,-357.0
84,1700654989676,1700654991634,-1958,65.0
85,1700654988945,1700654990766,-1821,202.0
86,1700654988971,1700654991015,-2044,-21.0
87,1700654988971,1700654990990,-2019,4.0
88,1700654988945,1700654990766,-1821,202.0
89,1700654989676,1700654991634,-1958,65.0
90,1700654989003,1700654991408,-2405,-382.0
91,1700654992307,1700654994293,-1986,37.0
92,1700654992251,1700654994068,-1817,206.0
93,1700654992307,1700654994518,-2211,-188.0
94,1700654992923,1700654995024,-2101,-78.0
95,1700654992895,1700654994768,-1873,150.0
96,1700654989701,1700654992085,-2384,-361.0
97,1700654990372,1700654992334,-1962,61.0
98,1700654989701,1700654991860,-2159,-136.0
99,1700654989701,1700654992055,-2354,-331.0
100,1700654990372,1700654992307,-1935,88.0
101,1700654992923,1700654994967,-2044,-21.0
102,1700654992895,1700654994741,-1846,177.0
103,1700654992307,1700654994323,-2016,7.0
104,1700654992251,1700654994096,-1845,178.0
105,1700654989676,1700654991669,-1993,30.0
106,1700654989003,1700654991442,-2439,-416.0
107,1700654988971,1700654991183,-2212,-189.0
108,1700654988971,1700654990962,-1991,32.0
109,1700654988945,1700654990738,-1793,230.0
110,1700654988945,1700654990738,-1793,230.0
111,1700654988971,1700654990990,-2019,4.0
112,1700654988971,1700654991214,-2243,-220.0
113,1700654989003,1700654991408,-2405,-382.0
114,1700654989676,1700654991669,-1993,30.0
115,1700654992251,1700654994124,-1873,150.0
116,1700654992307,1700654994350,-2043,-20.0
117,1700654992895,1700654994741,-1846,177.0
118,1700654992923,1700654994967,-2044,-21.0
119,1700654990372,1700654992307,-1935,88.0
120,1700654989701,1700654992085,-2384,-361.0
121,1700654989701,1700654991885,-2184,-161.0
122,1700654989701,1700654992136,-2435,-412.0
123,1700654989701,1700654992251,-2550,-527.0
124,1700654989701,1700654992055,-2354,-331.0
