img_id,data_point_0,data_point_1,difference,difference_from_mean
0,1700659277619,1700659277792,-173,-30.0
1,1700659277399,1700659277538,-139,4.0
2,1700659277148,1700659277316,-168,-25.0
3,1700659276952,1700659277063,-111,32.0
4,1700659276724,1700659276840,-116,27.0
5,1700659278071,1700659278212,-141,2.0
6,1700659278291,1700659278436,-145,-2.0
7,1700659274512,1700659274653,-141,2.0
8,1700659274708,1700659274852,-144,-1.0
9,1700659274933,1700659275074,-141,2.0
10,1700659274933,1700659275105,-172,-29.0
11,1700659274737,1700659274852,-115,28.0
12,1700659274542,1700659274653,-111,32.0
13,1700659278348,1700659278461,-113,30.0
14,1700659278071,1700659278212,-141,2.0
15,1700659276724,1700659276863,-139,4.0
16,1700659276952,1700659277063,-111,32.0
17,1700659277176,1700659277316,-140,3.0
18,1700659277399,1700659277538,-139,4.0
19,1700659277619,1700659277759,-140,3.0
20,1700659277367,1700659277479,-112,31.0
21,1700659277594,1700659277732,-138,5.0
22,1700659276753,1700659276893,-140,3.0
23,1700659276980,1700659277116,-136,7.0
24,1700659277843,1700659277987,-144,-1.0
25,1700659278291,1700659278405,-114,29.0
26,1700659278015,1700659278182,-167,-24.0
27,1700659274992,1700659275128,-136,7.0
28,1700659274769,1700659274882,-113,30.0
29,1700659274737,1700659274882,-145,-2.0
30,1700659274933,1700659275105,-172,-29.0
31,1700659278015,1700659278182,-167,-24.0
32,1700659278291,1700659278405,-114,29.0
33,1700659277792,1700659277987,-195,-52.0
34,1700659276980,1700659277104,-124,19.0
35,1700659276753,1700659276863,-110,33.0
36,1700659277594,1700659277759,-165,-22.0
37,1700659277399,1700659277538,-139,4.0
38,1700659277452,1700659277594,-142,1.0
39,1700659277538,1700659277675,-137,6.0
40,1700659276810,1700659276952,-142,1.0
41,1700659276893,1700659277038,-145,-2.0
42,1700659278182,1700659278348,-166,-23.0
43,1700659278099,1700659278238,-139,4.0
44,1700659278015,1700659278152,-137,6.0
45,1700659274882,1700659275045,-163,-20.0
46,1700659274792,1700659274933,-141,2.0
47,1700659274820,1700659274965,-145,-2.0
48,1700659274905,1700659275045,-140,3.0
49,1700659278015,1700659278152,-137,6.0
50,1700659278099,1700659278264,-165,-22.0
51,1700659278212,1700659278348,-136,7.0
52,1700659276920,1700659277063,-143,0.0
53,1700659276840,1700659276952,-112,31.0
55,1700659277452,1700659277572,-120,23.0
56,1700659277538,1700659277708,-170,-27.0
58,1700659276893,1700659277038,-145,-2.0
59,1700659276753,1700659276920,-167,-24.0
60,1700659277367,1700659277479,-112,31.0
61,1700659278124,1700659278291,-167,-24.0
62,1700659278238,1700659278378,-140,3.0
63,1700659274792,1700659274933,-141,2.0
64,1700659274882,1700659275025,-143,0.0
65,1700659274653,1700659274820,-167,-24.0
66,1700659274653,1700659274792,-139,4.0
