img_id,data_point_0,data_point_1,difference,difference_from_mean
0,1700659184297,1700659184829,-532,32.0
1,1700659183990,1700659184605,-615,-51.0
2,1700659183849,1700659184354,-505,59.0
3,1700659183540,1700659184132,-592,-28.0
4,1700659183374,1700659183880,-506,58.0
5,1700659184664,1700659185248,-584,-20.0
6,1700659184969,1700659185476,-507,57.0
7,1700659181080,1700659181695,-615,-51.0
8,1700659181328,1700659181890,-562,2.0
9,1700659181497,1700659182117,-620,-56.0
10,1700659181524,1700659182142,-618,-54.0
11,1700659181386,1700659181890,-504,60.0
12,1700659181080,1700659181695,-615,-51.0
13,1700659184969,1700659185505,-536,28.0
14,1700659184719,1700659185280,-561,3.0
15,1700659183374,1700659183906,-532,32.0
16,1700659183540,1700659184132,-592,-28.0
17,1700659183849,1700659184384,-535,29.0
18,1700659183990,1700659184580,-590,-26.0
19,1700659184297,1700659184829,-532,32.0
20,1700659183961,1700659184553,-592,-28.0
21,1700659184241,1700659184776,-535,29.0
22,1700659183432,1700659183935,-503,61.0
23,1700659183570,1700659184160,-590,-26.0
24,1700659184522,1700659185026,-504,60.0
25,1700659184969,1700659185476,-507,57.0
26,1700659184664,1700659185248,-584,-20.0
27,1700659181524,1700659182169,-645,-81.0
28,1700659181386,1700659181945,-559,5.0
29,1700659181386,1700659181921,-535,29.0
30,1700659181524,1700659182169,-645,-81.0
31,1700659184664,1700659185221,-557,7.0
32,1700659184969,1700659185448,-479,85.0
33,1700659184384,1700659185026,-642,-78.0
34,1700659183540,1700659184160,-620,-56.0
35,1700659183374,1700659183906,-532,32.0
36,1700659184297,1700659184804,-507,57.0
37,1700659183990,1700659184580,-590,-26.0
38,1700659184020,1700659184633,-613,-49.0
39,1700659184186,1700659184744,-558,6.0
40,1700659183432,1700659183990,-558,6.0
41,1700659183484,1700659184074,-590,-26.0
42,1700659184776,1700659185390,-614,-50.0
43,1700659184719,1700659185280,-561,3.0
44,1700659184664,1700659185193,-529,35.0
