img_id,data_point_0,data_point_1,difference,difference_from_mean
0,1700660581131,1700660581190,-59,18.0
1,1700660580907,1700660580964,-57,20.0
2,1700660580628,1700660580713,-85,-8.0
3,1700660580405,1700660580491,-86,-9.0
4,1700660580183,1700660580263,-80,-3.0
5,1700660581524,1700660581612,-88,-11.0
6,1700660581779,1700660581864,-85,-8.0
7,1700660577969,1700660578053,-84,-7.0
8,1700660578167,1700660578248,-81,-4.0
9,1700660578420,1700660578473,-53,24.0
10,1700660578420,1700660578503,-83,-6.0
11,1700660578194,1700660578277,-83,-6.0
12,1700660577996,1700660578053,-57,20.0
13,1700660581805,1700660581864,-59,18.0
14,1700660581556,1700660581637,-81,-4.0
15,1700660580183,1700660580263,-80,-3.0
16,1700660580436,1700660580491,-55,22.0
17,1700660580659,1700660580740,-81,-4.0
18,1700660580882,1700660580964,-82,-5.0
19,1700660581107,1700660581190,-83,-6.0
20,1700660580823,1700660580907,-84,-7.0
21,1700660581080,1700660581159,-79,-2.0
22,1700660580210,1700660580294,-84,-7.0
23,1700660580459,1700660580545,-86,-9.0
24,1700660581328,1700660581415,-87,-10.0
25,1700660581751,1700660581832,-81,-4.0
26,1700660581524,1700660581612,-88,-11.0
27,1700660578444,1700660578530,-86,-9.0
28,1700660578220,1700660578307,-87,-10.0
29,1700660578220,1700660578277,-57,20.0
30,1700660578444,1700660578530,-86,-9.0
31,1700660581524,1700660581581,-57,20.0
32,1700660581751,1700660581805,-54,23.0
33,1700660581299,1700660581384,-85,-8.0
34,1700660580436,1700660580514,-78,-1.0
35,1700660580183,1700660580294,-111,-34.0
36,1700660581080,1700660581159,-79,-2.0
37,1700660580852,1700660580939,-87,-10.0
38,1700660580939,1700660580992,-53,24.0
39,1700660581021,1700660581107,-86,-9.0
40,1700660580263,1700660580347,-84,-7.0
41,1700660580379,1700660580436,-57,20.0
42,1700660581664,1700660581751,-87,-10.0
43,1700660581581,1700660581664,-83,-6.0
44,1700660581469,1700660581556,-87,-10.0
45,1700660578387,1700660578444,-57,20.0
46,1700660578277,1700660578333,-56,21.0
47,1700660578277,1700660578364,-87,-10.0
48,1700660578387,1700660578473,-86,-9.0
49,1700660581498,1700660581581,-83,-6.0
50,1700660581581,1700660581664,-83,-6.0
51,1700660581691,1700660581779,-88,-11.0
52,1700660580405,1700660580459,-54,23.0
53,1700660580294,1700660580379,-85,-8.0
54,1700660581021,1700660581080,-59,18.0
55,1700660580907,1700660580992,-85,-8.0
56,1700660581047,1700660581107,-60,17.0
57,1700660580939,1700660581021,-82,-5.0
58,1700660580379,1700660580436,-57,20.0
59,1700660580263,1700660580347,-84,-7.0
60,1700660580823,1700660580907,-84,-7.0
61,1700660581612,1700660581691,-79,-2.0
62,1700660581718,1700660581805,-87,-10.0
63,1700660578248,1700660578333,-85,-8.0
64,1700660578364,1700660578444,-80,-3.0
65,1700660578167,1700660578248,-81,-4.0
66,1700660578139,1700660578220,-81,-4.0
67,1700660578333,1700660578420,-87,-10.0
68,1700660578248,1700660578307,-59,18.0
69,1700660581718,1700660581779,-61,16.0
70,1700660581612,1700660581691,-79,-2.0
71,1700660580823,1700660580882,-59,18.0
72,1700660580237,1700660580320,-83,-6.0
73,1700660580347,1700660580405,-58,19.0
74,1700660580964,1700660581047,-83,-6.0
75,1700660581080,1700660581131,-51,26.0
76,1700660580123,1700660580210,-87,-10.0
77,1700660579900,1700660579956,-56,21.0
78,1700660582535,1700660582619,-84,-7.0
79,1700660582787,1700660582844,-57,20.0
80,1700660582338,1700660582395,-57,20.0
81,1700660581864,1700660581942,-78,-1.0
82,1700660582086,1700660582171,-85,-8.0
83,1700660579174,1700660579257,-83,-6.0
84,1700660579399,1700660579481,-82,-5.0
85,1700660578556,1700660578641,-85,-8.0
86,1700660578780,1700660578866,-86,-9.0
87,1700660578780,1700660578836,-56,21.0
88,1700660578530,1700660578616,-86,-9.0
89,1700660579425,1700660579512,-87,-10.0
90,1700660579203,1700660579257,-54,23.0
91,1700660582056,1700660582139,-83,-6.0
92,1700660581832,1700660581916,-84,-7.0
93,1700660582311,1700660582395,-84,-7.0
94,1700660582787,1700660582869,-82,-5.0
95,1700660582561,1700660582647,-86,-9.0
96,1700660579876,1700660579956,-80,-3.0
97,1700660580123,1700660580183,-60,17.0
98,1700660579652,1700660579733,-81,-4.0
99,1700660579843,1700660579900,-57,20.0
100,1700660580071,1700660580152,-81,-4.0
101,1700660582759,1700660582844,-85,-8.0
102,1700660582506,1700660582589,-83,-6.0
103,1700660582114,1700660582199,-85,-8.0
104,1700660581889,1700660581942,-53,24.0
105,1700660579451,1700660579536,-85,-8.0
106,1700660579228,1700660579287,-59,18.0
107,1700660578980,1700660579064,-84,-7.0
108,1700660578726,1700660578811,-85,-8.0
109,1700660578503,1700660578587,-84,-7.0
110,1700660578530,1700660578616,-86,-9.0
111,1700660578754,1700660578836,-82,-5.0
112,1700660578980,1700660579064,-84,-7.0
113,1700660579228,1700660579287,-59,18.0
114,1700660579451,1700660579512,-61,16.0
115,1700660581889,1700660581976,-87,-10.0
116,1700660582114,1700660582199,-85,-8.0
117,1700660582506,1700660582589,-83,-6.0
118,1700660582728,1700660582812,-84,-7.0
119,1700660580096,1700660580183,-87,-10.0
120,1700660579843,1700660579929,-86,-9.0
121,1700660579652,1700660579733,-81,-4.0
122,1700660579929,1700660579988,-59,18.0
123,1700660580012,1700660580096,-84,-7.0
124,1700660579819,1700660579900,-81,-4.0
125,1700660582676,1700660582759,-83,-6.0
126,1700660582561,1700660582647,-86,-9.0
127,1700660582056,1700660582139,-83,-6.0
128,1700660581976,1700660582027,-51,26.0
