img_id,data_point_0,data_point_1,difference,difference_from_mean
0,1700660122749,1700660122832,-83,-3.0
1,1700660122494,1700660122580,-86,-6.0
2,1700660122243,1700660122328,-85,-5.0
3,1700660122019,1700660122102,-83,-3.0
4,1700660121794,1700660121881,-87,-7.0
5,1700660123171,1700660123251,-80,-0.0
6,1700660123392,1700660123475,-83,-3.0
7,1700660119587,1700660119667,-80,-0.0
8,1700660119806,1700660119866,-60,20.0
9,1700660120033,1700660120115,-82,-2.0
10,1700660120033,1700660120115,-82,-2.0
11,1700660119806,1700660119893,-87,-7.0
12,1700660119613,1700660119697,-84,-4.0
13,1700660123418,1700660123475,-57,23.0
14,1700660123171,1700660123251,-80,-0.0
15,1700660121794,1700660121881,-87,-7.0
16,1700660122049,1700660122132,-83,-3.0
17,1700660122274,1700660122356,-82,-2.0
18,1700660122494,1700660122580,-86,-6.0
19,1700660122723,1700660122804,-81,-1.0
20,1700660122467,1700660122552,-85,-5.0
21,1700660122690,1700660122777,-87,-7.0
22,1700660121824,1700660121906,-82,-2.0
23,1700660122079,1700660122163,-84,-4.0
24,1700660122915,1700660123027,-112,-32.0
25,1700660123364,1700660123448,-84,-4.0
26,1700660123140,1700660123224,-84,-4.0
27,1700660120061,1700660120171,-110,-30.0
28,1700660119839,1700660119922,-83,-3.0
29,1700660119839,1700660119893,-54,26.0
30,1700660120061,1700660120145,-84,-4.0
31,1700660123140,1700660123198,-58,22.0
32,1700660123364,1700660123448,-84,-4.0
33,1700660122915,1700660123001,-86,-6.0
34,1700660122049,1700660122132,-83,-3.0
35,1700660121794,1700660121906,-112,-32.0
36,1700660122690,1700660122804,-114,-34.0
37,1700660122467,1700660122552,-85,-5.0
38,1700660122552,1700660122638,-86,-6.0
39,1700660122638,1700660122723,-85,-5.0
40,1700660121881,1700660121966,-85,-5.0
41,1700660121994,1700660122079,-85,-5.0
42,1700660123306,1700660123364,-58,22.0
43,1700660123198,1700660123282,-84,-4.0
44,1700660123114,1700660123171,-57,23.0
45,1700660120003,1700660120061,-58,22.0
46,1700660119893,1700660119979,-86,-6.0
47,1700660119922,1700660120003,-81,-1.0
48,1700660120003,1700660120090,-87,-7.0
49,1700660123114,1700660123198,-84,-4.0
50,1700660123198,1700660123282,-84,-4.0
51,1700660123306,1700660123392,-86,-6.0
52,1700660122019,1700660122102,-83,-3.0
53,1700660121906,1700660121994,-88,-8.0
54,1700660122638,1700660122690,-52,28.0
55,1700660122524,1700660122611,-87,-7.0
56,1700660122665,1700660122749,-84,-4.0
57,1700660122580,1700660122638,-58,22.0
58,1700660121966,1700660122049,-83,-3.0
59,1700660121881,1700660121966,-85,-5.0
60,1700660122467,1700660122524,-57,23.0
61,1700660123251,1700660123339,-88,-8.0
62,1700660123364,1700660123418,-54,26.0
63,1700660119893,1700660119949,-56,24.0
64,1700660119979,1700660120061,-82,-2.0
65,1700660119779,1700660119866,-87,-7.0
66,1700660119750,1700660119839,-89,-9.0
67,1700660119949,1700660120033,-84,-4.0
68,1700660119866,1700660119949,-83,-3.0
69,1700660123339,1700660123418,-79,1.0
70,1700660123224,1700660123306,-82,-2.0
71,1700660122414,1700660122494,-80,-0.0
72,1700660121854,1700660121938,-84,-4.0
73,1700660121966,1700660122049,-83,-3.0
74,1700660122580,1700660122665,-85,-5.0
75,1700660122665,1700660122749,-84,-4.0
76,1700660121740,1700660121824,-84,-4.0
77,1700660121515,1700660121600,-85,-5.0
78,1700660124179,1700660124234,-55,25.0
79,1700660124398,1700660124459,-61,19.0
80,1700660123952,1700660124035,-83,-3.0
81,1700660123475,1700660123563,-88,-8.0
82,1700660123728,1700660123783,-55,25.0
83,1700660120786,1700660120873,-87,-7.0
84,1700660121012,1700660121099,-87,-7.0
85,1700660120171,1700660120255,-84,-4.0
86,1700660120398,1700660120483,-85,-5.0
87,1700660120398,1700660120483,-85,-5.0
88,1700660120171,1700660120228,-57,23.0
89,1700660121043,1700660121123,-80,-0.0
90,1700660120819,1700660120900,-81,-1.0
91,1700660123698,1700660123783,-85,-5.0
92,1700660123475,1700660123532,-57,23.0
93,1700660123923,1700660124007,-84,-4.0
94,1700660124428,1700660124486,-58,22.0
95,1700660124179,1700660124260,-81,-1.0
96,1700660121515,1700660121572,-57,23.0
97,1700660121740,1700660121794,-54,26.0
98,1700660121265,1700660121347,-82,-2.0
99,1700660121459,1700660121546,-87,-7.0
100,1700660121711,1700660121771,-60,20.0
101,1700660124371,1700660124459,-88,-8.0
102,1700660124147,1700660124234,-87,-7.0
103,1700660123728,1700660123811,-83,-3.0
104,1700660123475,1700660123563,-88,-8.0
105,1700660121070,1700660121155,-85,-5.0
106,1700660120844,1700660120928,-84,-4.0
107,1700660120590,1700660120676,-86,-6.0
108,1700660120369,1700660120452,-83,-3.0
109,1700660120115,1700660120203,-88,-8.0
110,1700660120145,1700660120228,-83,-3.0
111,1700660120369,1700660120452,-83,-3.0
112,1700660120619,1700660120676,-57,23.0
113,1700660120819,1700660120900,-81,-1.0
114,1700660121070,1700660121155,-85,-5.0
115,1700660123507,1700660123588,-81,-1.0
116,1700660123755,1700660123811,-56,24.0
117,1700660124147,1700660124205,-58,22.0
118,1700660124371,1700660124428,-57,23.0
119,1700660121711,1700660121794,-83,-3.0
120,1700660121459,1700660121546,-87,-7.0
121,1700660121292,1700660121347,-55,25.0
122,1700660121546,1700660121629,-83,-3.0
123,1700660121629,1700660121711,-82,-2.0
124,1700660121433,1700660121515,-82,-2.0
125,1700660124291,1700660124371,-80,-0.0
126,1700660124205,1700660124260,-55,25.0
127,1700660123670,1700660123755,-85,-5.0
128,1700660123563,1700660123670,-107,-27.0
129,1700660120984,1700660121070,-86,-6.0
130,1700660120873,1700660120984,-111,-31.0
131,1700660120314,1700660120398,-84,-4.0
132,1700660120203,1700660120286,-83,-3.0
133,1700660120786,1700660120844,-58,22.0
134,1700660120763,1700660120844,-81,-1.0
135,1700660120203,1700660120286,-83,-3.0
136,1700660120286,1700660120369,-83,-3.0
137,1700660120900,1700660120984,-84,-4.0
138,1700660121012,1700660121099,-87,-7.0
139,1700660123532,1700660123645,-113,-33.0
140,1700660123670,1700660123755,-85,-5.0
141,1700660124205,1700660124291,-86,-6.0
142,1700660124319,1700660124398,-79,1.0
143,1700660121433,1700660121515,-82,-2.0
144,1700660121629,1700660121711,-82,-2.0
145,1700660121515,1700660121600,-85,-5.0
146,1700660121684,1700660121740,-56,24.0
147,1700660121546,1700660121629,-83,-3.0
148,1700660124234,1700660124319,-85,-5.0
149,1700660124347,1700660124428,-81,-1.0
150,1700660123532,1700660123618,-86,-6.0
151,1700660123618,1700660123698,-80,-0.0
152,1700660124091,1700660124179,-88,-8.0
153,1700660120844,1700660120957,-113,-33.0
154,1700660120984,1700660121070,-86,-6.0
155,1700660120228,1700660120314,-86,-6.0
156,1700660120339,1700660120398,-59,21.0
157,1700660120339,1700660120423,-84,-4.0
158,1700660120255,1700660120314,-59,21.0
159,1700660120957,1700660121043,-86,-6.0
160,1700660120844,1700660120928,-84,-4.0
161,1700660124119,1700660124205,-86,-6.0
162,1700660123618,1700660123728,-110,-30.0
163,1700660123532,1700660123618,-86,-6.0
164,1700660124347,1700660124398,-51,29.0
165,1700660124234,1700660124319,-85,-5.0
166,1700660121572,1700660121658,-86,-6.0
167,1700660121684,1700660121771,-87,-7.0
168,1700660121376,1700660121459,-83,-3.0
169,1700660121182,1700660121235,-53,27.0
170,1700660124486,1700660124542,-56,24.0
171,1700660123588,1700660123670,-82,-2.0
172,1700660123811,1700660123870,-59,21.0
173,1700660124035,1700660124091,-56,24.0
174,1700660120928,1700660121012,-84,-4.0
175,1700660120483,1700660120564,-81,-1.0
176,1700660120731,1700660120819,-88,-8.0
177,1700660120731,1700660120819,-88,-8.0
178,1700660120511,1700660120590,-79,1.0
179,1700660120928,1700660121012,-84,-4.0
180,1700660124064,1700660124119,-55,25.0
181,1700660123811,1700660123897,-86,-6.0
182,1700660123618,1700660123698,-80,-0.0
183,1700660121182,1700660121265,-83,-3.0
184,1700660121407,1700660121491,-84,-4.0
185,1700660121600,1700660121684,-84,-4.0
186,1700660121155,1700660121235,-80,-0.0
187,1700660121376,1700660121459,-83,-3.0
188,1700660124260,1700660124347,-87,-7.0
189,1700660124091,1700660124147,-56,24.0
190,1700660123842,1700660123923,-81,-1.0
191,1700660120286,1700660120369,-83,-3.0
192,1700660120707,1700660120786,-79,1.0
193,1700660120483,1700660120564,-81,-1.0
194,1700660120452,1700660120538,-86,-6.0
195,1700660120707,1700660120786,-79,1.0
196,1700660120286,1700660120339,-53,27.0
197,1700660123842,1700660123897,-55,25.0
198,1700660124064,1700660124147,-83,-3.0
199,1700660124291,1700660124371,-80,-0.0
200,1700660121347,1700660121433,-86,-6.0
201,1700660121155,1700660121206,-51,29.0
202,1700660121600,1700660121684,-84,-4.0
203,1700660121182,1700660121265,-83,-3.0
204,1700660121292,1700660121376,-84,-4.0
205,1700660121771,1700660121854,-83,-3.0
206,1700660124459,1700660124515,-56,24.0
207,1700660124007,1700660124064,-57,23.0
208,1700660123897,1700660123983,-86,-6.0
209,1700660120619,1700660120707,-88,-8.0
210,1700660120511,1700660120619,-108,-28.0
211,1700660120423,1700660120511,-88,-8.0
212,1700660120452,1700660120538,-86,-6.0
213,1700660120538,1700660120619,-81,-1.0
214,1700660120651,1700660120731,-80,-0.0
215,1700660123897,1700660123983,-86,-6.0
216,1700660124007,1700660124091,-84,-4.0
217,1700660124428,1700660124515,-87,-7.0
218,1700660121771,1700660121854,-83,-3.0
219,1700660121292,1700660121376,-84,-4.0
220,1700660121206,1700660121292,-86,-6.0
221,1700660121347,1700660121433,-86,-6.0
222,1700660121235,1700660121319,-84,-4.0
223,1700660123870,1700660123952,-82,-2.0
224,1700660123983,1700660124064,-81,-1.0
225,1700660123783,1700660123870,-87,-7.0
226,1700660121099,1700660121182,-83,-3.0
227,1700660120590,1700660120651,-61,19.0
228,1700660120676,1700660120763,-87,-7.0
229,1700660120651,1700660120731,-80,-0.0
230,1700660120538,1700660120651,-113,-33.0
231,1700660121099,1700660121182,-83,-3.0
232,1700660123755,1700660123842,-87,-7.0
233,1700660123983,1700660124035,-52,28.0
234,1700660123870,1700660123923,-53,27.0
235,1700660121235,1700660121319,-84,-4.0
236,1700660121319,1700660121407,-88,-8.0
237,1700660121938,1700660122019,-81,-1.0
238,1700660122383,1700660122467,-84,-4.0
239,1700660122163,1700660122217,-54,26.0
240,1700660122832,1700660122915,-83,-3.0
241,1700660123086,1700660123171,-85,-5.0
242,1700660119949,1700660120033,-84,-4.0
243,1700660119474,1700660119556,-82,-2.0
244,1700660119723,1700660119779,-56,24.0
245,1700660119697,1700660119779,-82,-2.0
246,1700660119922,1700660120003,-81,-1.0
