img_id,data_point_0,data_point_1,difference,difference_from_mean
0,1700660039617,1700660039730,-113,-12.0
1,1700660039395,1700660039478,-83,18.0
2,1700660039143,1700660039224,-81,20.0
3,1700660038895,1700660039001,-106,-5.0
4,1700660038639,1700660038776,-137,-36.0
5,1700660040040,1700660040123,-83,18.0
6,1700660040259,1700660040373,-114,-13.0
7,1700660036481,1700660036564,-83,18.0
8,1700660036646,1700660036761,-115,-14.0
9,1700660036903,1700660037014,-111,-10.0
10,1700660036930,1700660037014,-84,17.0
11,1700660036646,1700660036793,-147,-46.0
12,1700660036481,1700660036595,-114,-13.0
13,1700660040287,1700660040373,-86,15.0
14,1700660040040,1700660040147,-107,-6.0
15,1700660038695,1700660038776,-81,20.0
16,1700660038895,1700660039001,-106,-5.0
17,1700660039143,1700660039251,-108,-7.0
18,1700660039365,1700660039478,-113,-12.0
19,1700660039617,1700660039700,-83,18.0
20,1700660039339,1700660039421,-82,19.0
21,1700660039559,1700660039675,-116,-15.0
22,1700660038723,1700660038833,-110,-9.0
23,1700660038915,1700660039058,-143,-42.0
24,1700660039786,1700660039926,-140,-39.0
25,1700660040231,1700660040344,-113,-12.0
26,1700660040009,1700660040123,-114,-13.0
27,1700660036959,1700660037046,-87,14.0
28,1700660036705,1700660036815,-110,-9.0
29,1700660036705,1700660036793,-88,13.0
30,1700660036930,1700660037046,-116,-15.0
31,1700660040009,1700660040096,-87,14.0
32,1700660040231,1700660040344,-113,-12.0
33,1700660039786,1700660039898,-112,-11.0
34,1700660038915,1700660039028,-113,-12.0
35,1700660038695,1700660038810,-115,-14.0
36,1700660039591,1700660039675,-84,17.0
37,1700660039339,1700660039452,-113,-12.0
38,1700660039395,1700660039504,-109,-8.0
39,1700660039536,1700660039617,-81,20.0
40,1700660038776,1700660038864,-88,13.0
41,1700660038864,1700660038979,-115,-14.0
42,1700660040176,1700660040259,-83,18.0
43,1700660040040,1700660040176,-136,-35.0
44,1700660039982,1700660040066,-84,17.0
