img_id,data_point_0,data_point_1,difference,difference_from_mean
0,1700660227273,1700660227746,-473,-37.0
1,1700660227049,1700660227522,-473,-37.0
2,1700660226823,1700660227273,-450,-14.0
3,1700660226601,1700660227049,-448,-12.0
4,1700660226404,1700660226797,-393,43.0
5,1700660227693,1700660228167,-474,-38.0
6,1700660228027,1700660228419,-392,44.0
7,1700660224251,1700660224611,-360,76.0
8,1700660224442,1700660224809,-367,69.0
9,1700660224665,1700660225057,-392,44.0
10,1700660224665,1700660225057,-392,44.0
11,1700660224442,1700660224834,-392,44.0
12,1700660224251,1700660224640,-389,47.0
13,1700660228056,1700660228419,-363,73.0
14,1700660227693,1700660228194,-501,-65.0
15,1700660226404,1700660226823,-419,17.0
16,1700660226601,1700660227049,-448,-12.0
17,1700660226823,1700660227302,-479,-43.0
18,1700660227049,1700660227522,-473,-37.0
19,1700660227273,1700660227746,-473,-37.0
20,1700660227019,1700660227468,-449,-13.0
21,1700660227245,1700660227693,-448,-12.0
22,1700660226431,1700660226850,-419,17.0
23,1700660226626,1700660227103,-477,-41.0
24,1700660227610,1700660227971,-361,75.0
25,1700660228027,1700660228391,-364,72.0
26,1700660227693,1700660228167,-474,-38.0
27,1700660224665,1700660225090,-425,11.0
28,1700660224442,1700660224862,-420,16.0
29,1700660224442,1700660224834,-392,44.0
30,1700660224665,1700660225090,-425,11.0
31,1700660227693,1700660228140,-447,-11.0
32,1700660227887,1700660228391,-504,-68.0
33,1700660227468,1700660227946,-478,-42.0
34,1700660226626,1700660227076,-450,-14.0
35,1700660226404,1700660226850,-446,-10.0
36,1700660227245,1700660227719,-474,-38.0
37,1700660227049,1700660227498,-449,-13.0
38,1700660227049,1700660227551,-502,-66.0
39,1700660227245,1700660227664,-419,17.0
40,1700660226431,1700660226909,-478,-42.0
41,1700660226601,1700660227019,-418,18.0
42,1700660227859,1700660228307,-448,-12.0
43,1700660227693,1700660228194,-501,-65.0
44,1700660227664,1700660228111,-447,-11.0
45,1700660224611,1700660225006,-395,41.0
46,1700660224471,1700660224922,-451,-15.0
47,1700660224471,1700660224922,-451,-15.0
48,1700660224665,1700660225032,-367,69.0
49,1700660227664,1700660228111,-447,-11.0
50,1700660227834,1700660228221,-387,49.0
51,1700660227859,1700660228337,-478,-42.0
52,1700660226601,1700660227019,-418,18.0
53,1700660226431,1700660226934,-503,-67.0
54,1700660227218,1700660227635,-417,19.0
55,1700660227049,1700660227551,-502,-66.0
56,1700660227245,1700660227664,-419,17.0
57,1700660227189,1700660227583,-394,42.0
58,1700660226462,1700660226992,-530,-94.0
59,1700660226431,1700660226880,-449,-13.0
60,1700660227019,1700660227468,-449,-13.0
61,1700660227859,1700660228249,-390,46.0
62,1700660227887,1700660228364,-477,-41.0
63,1700660224471,1700660224892,-421,15.0
64,1700660224611,1700660224978,-367,69.0
65,1700660224306,1700660224779,-473,-37.0
66,1700660224306,1700660224779,-473,-37.0
67,1700660224611,1700660224978,-367,69.0
68,1700660224442,1700660224892,-450,-14.0
69,1700660227887,1700660228337,-450,-14.0
70,1700660227834,1700660228249,-415,21.0
71,1700660226992,1700660227442,-450,-14.0
72,1700660226431,1700660226880,-449,-13.0
73,1700660226462,1700660226992,-530,-94.0
74,1700660227189,1700660227583,-394,42.0
75,1700660227245,1700660227693,-448,-12.0
