img_id,data_point_0,data_point_1,difference,difference_from_mean
0,1700660377213,1700660377322,-109,-4.0
1,1700660376988,1700660377101,-113,-8.0
2,1700660366907,1700660367019,-112,-7.0
3,1700660385108,1700660385219,-111,-6.0
4,1700660377463,1700660377549,-86,19.0
5,1700660366709,1700660366799,-90,15.0
6,1700660384913,1700660385022,-109,-4.0
7,1700660366433,1700660366543,-110,-5.0
8,1700660384656,1700660384769,-113,-8.0
9,1700660366208,1700660366291,-83,22.0
10,1700660374188,1700660374270,-82,23.0
11,1700660374077,1700660374188,-111,-6.0
12,1700660365954,1700660366066,-112,-7.0
13,1700660370214,1700660370323,-109,-4.0
14,1700660370014,1700660370099,-85,20.0
15,1700660381521,1700660381635,-114,-9.0
16,1700660381299,1700660381417,-118,-13.0
17,1700660370601,1700660370717,-116,-11.0
18,1700660370768,1700660370910,-142,-37.0
19,1700660369594,1700660369681,-87,18.0
20,1700660381114,1700660381215,-101,4.0
21,1700660369341,1700660369454,-113,-8.0
22,1700660370717,1700660370799,-82,23.0
23,1700660373377,1700660373541,-164,-59.0
24,1700660373541,1700660373627,-86,19.0
25,1700660373292,1700660373377,-85,20.0
26,1700660381973,1700660382056,-83,22.0
27,1700660382221,1700660382306,-85,20.0
28,1700660372710,1700660372813,-103,2.0
29,1700660367331,1700660367441,-110,-5.0
30,1700660382445,1700660382557,-112,-7.0
31,1700660367582,1700660367663,-81,24.0
32,1700660372813,1700660372928,-115,-10.0
33,1700660379647,1700660379762,-115,-10.0
34,1700660379897,1700660379983,-86,19.0
35,1700660376737,1700660376818,-81,24.0
36,1700660376818,1700660376932,-114,-9.0
37,1700660379452,1700660379566,-114,-9.0
38,1700660385331,1700660385450,-119,-14.0
39,1700660388020,1700660388129,-109,-4.0
40,1700660388129,1700660388243,-114,-9.0
41,1700660363744,1700660363885,-141,-36.0
42,1700660385557,1700660385667,-110,-5.0
43,1700660363966,1700660364077,-111,-6.0
44,1700660387965,1700660388046,-81,24.0
45,1700660376063,1700660376172,-109,-4.0
46,1700660376172,1700660376259,-87,18.0
47,1700660364188,1700660364302,-114,-9.0
48,1700660376205,1700660376292,-87,18.0
49,1700660364221,1700660364333,-112,-7.0
50,1700660363995,1700660364106,-111,-6.0
51,1700660376092,1700660376172,-80,25.0
52,1700660387965,1700660388046,-81,24.0
53,1700660388160,1700660388243,-83,22.0
54,1700660385584,1700660385697,-113,-8.0
55,1700660363744,1700660363885,-141,-36.0
56,1700660385331,1700660385472,-141,-36.0
57,1700660388020,1700660388160,-140,-35.0
58,1700660379423,1700660379534,-111,-6.0
59,1700660376818,1700660376904,-86,19.0
60,1700660376706,1700660376818,-112,-7.0
61,1700660379873,1700660379983,-110,-5.0
62,1700660379622,1700660379732,-110,-5.0
63,1700660367582,1700660367691,-109,-4.0
64,1700660382445,1700660382557,-112,-7.0
65,1700660372813,1700660372928,-115,-10.0
66,1700660372733,1700660372813,-80,25.0
67,1700660367331,1700660367441,-110,-5.0
68,1700660382221,1700660382335,-114,-9.0
69,1700660373292,1700660373377,-85,20.0
70,1700660381973,1700660382089,-116,-11.0
71,1700660373514,1700660373605,-91,14.0
72,1700660373377,1700660373514,-137,-32.0
73,1700660369368,1700660369454,-86,19.0
74,1700660370717,1700660370827,-110,-5.0
75,1700660370827,1700660370936,-109,-4.0
76,1700660381130,1700660381215,-85,20.0
77,1700660369594,1700660369707,-113,-8.0
78,1700660381327,1700660381437,-110,-5.0
79,1700660370628,1700660370717,-89,16.0
80,1700660381521,1700660381661,-140,-35.0
81,1700660369994,1700660370070,-76,29.0
82,1700660370214,1700660370323,-109,-4.0
83,1700660374077,1700660374188,-111,-6.0
84,1700660365984,1700660366096,-112,-7.0
85,1700660366208,1700660366324,-116,-11.0
86,1700660374188,1700660374307,-119,-14.0
87,1700660384715,1700660384798,-83,22.0
88,1700660366457,1700660366543,-86,19.0
89,1700660384937,1700660385022,-85,20.0
90,1700660366656,1700660366775,-119,-14.0
91,1700660385108,1700660385219,-111,-6.0
92,1700660366907,1700660366992,-85,20.0
93,1700660377433,1700660377549,-116,-11.0
94,1700660376958,1700660377068,-110,-5.0
95,1700660377213,1700660377296,-83,22.0
96,1700660376988,1700660377101,-113,-8.0
97,1700660377213,1700660377352,-139,-34.0
98,1700660366626,1700660366742,-116,-11.0
99,1700660366824,1700660366966,-142,-37.0
100,1700660384656,1700660384769,-113,-8.0
101,1700660373932,1700660374077,-145,-40.0
102,1700660384883,1700660384994,-111,-6.0
103,1700660366013,1700660366122,-109,-4.0
104,1700660374077,1700660374158,-81,24.0
105,1700660374158,1700660374270,-112,-7.0
106,1700660384461,1700660384547,-86,19.0
107,1700660366263,1700660366349,-86,19.0
108,1700660370014,1700660370099,-85,20.0
109,1700660381776,1700660381885,-109,-4.0
110,1700660370242,1700660370348,-106,-1.0
111,1700660381327,1700660381465,-138,-33.0
112,1700660369795,1700660369905,-110,-5.0
113,1700660381578,1700660381694,-116,-11.0
114,1700660370768,1700660370856,-88,17.0
115,1700660369287,1700660369436,-149,-44.0
116,1700660369541,1700660369652,-111,-6.0
117,1700660370856,1700660370936,-80,25.0
118,1700660373491,1700660373573,-82,23.0
119,1700660373377,1700660373491,-114,-9.0
120,1700660382249,1700660382365,-116,-11.0
121,1700660367114,1700660367217,-103,2.0
122,1700660382025,1700660382142,-117,-12.0
123,1700660372840,1700660372957,-117,-12.0
124,1700660367556,1700660367663,-107,-2.0
125,1700660367331,1700660367441,-110,-5.0
126,1700660372733,1700660372874,-141,-36.0
127,1700660379897,1700660380014,-117,-12.0
128,1700660379647,1700660379784,-137,-32.0
129,1700660376818,1700660376958,-140,-35.0
130,1700660376737,1700660376845,-108,-3.0
131,1700660385557,1700660385667,-110,-5.0
132,1700660388186,1700660388300,-114,-9.0
133,1700660388079,1700660388186,-107,-2.0
134,1700660376623,1700660376737,-114,-9.0
135,1700660385331,1700660385414,-83,22.0
136,1700660364276,1700660364360,-84,21.0
137,1700660385808,1700660385890,-82,23.0
138,1700660380125,1700660380238,-113,-8.0
139,1700660376172,1700660376259,-87,18.0
140,1700660376063,1700660376146,-83,22.0
141,1700660364031,1700660364139,-108,-3.0
142,1700660376009,1700660376146,-137,-32.0
143,1700660363995,1700660364106,-111,-6.0
144,1700660385781,1700660385890,-109,-4.0
145,1700660364221,1700660364333,-112,-7.0
146,1700660376146,1700660376232,-86,19.0
147,1700660380094,1700660380209,-115,-10.0
148,1700660376623,1700660376706,-83,22.0
149,1700660388079,1700660388186,-107,-2.0
150,1700660385303,1700660385414,-111,-6.0
151,1700660385557,1700660385639,-82,23.0
152,1700660388186,1700660388273,-87,18.0
153,1700660376765,1700660376845,-80,25.0
154,1700660376845,1700660376958,-113,-8.0
155,1700660379677,1700660379784,-107,-2.0
156,1700660379897,1700660380038,-141,-36.0
157,1700660367300,1700660367408,-108,-3.0
158,1700660372733,1700660372840,-107,-2.0
159,1700660372840,1700660372928,-88,17.0
160,1700660367522,1700660367645,-123,-18.0
161,1700660381973,1700660382113,-140,-35.0
162,1700660367075,1700660367217,-142,-37.0
163,1700660382249,1700660382335,-86,19.0
164,1700660373377,1700660373491,-114,-9.0
165,1700660373491,1700660373605,-114,-9.0
166,1700660369541,1700660369652,-111,-6.0
167,1700660370856,1700660370936,-80,25.0
168,1700660370744,1700660370856,-112,-7.0
169,1700660369287,1700660369397,-110,-5.0
170,1700660381578,1700660381661,-83,22.0
171,1700660369795,1700660369879,-84,21.0
172,1700660381327,1700660381437,-110,-5.0
173,1700660370268,1700660370348,-80,25.0
174,1700660381776,1700660381885,-109,-4.0
175,1700660370014,1700660370125,-111,-6.0
176,1700660374132,1700660374241,-109,-4.0
177,1700660366263,1700660366349,-86,19.0
178,1700660384461,1700660384547,-86,19.0
179,1700660366013,1700660366096,-83,22.0
180,1700660374047,1700660374132,-85,20.0
181,1700660384883,1700660384982,-99,6.0
182,1700660384632,1700660384742,-110,-5.0
183,1700660373932,1700660374047,-115,-10.0
184,1700660366907,1700660366992,-85,20.0
185,1700660366656,1700660366742,-86,19.0
186,1700660377266,1700660377352,-86,19.0
187,1700660377021,1700660377129,-108,-3.0
188,1700660366709,1700660366824,-115,-10.0
189,1700660366824,1700660366935,-111,-6.0
190,1700660377101,1700660377184,-83,22.0
191,1700660377184,1700660377296,-112,-7.0
192,1700660373992,1700660374077,-85,20.0
193,1700660384577,1700660384715,-138,-33.0
194,1700660366066,1700660366183,-117,-12.0
195,1700660366183,1700660366291,-108,-3.0
196,1700660374188,1700660374307,-119,-14.0
197,1700660384715,1700660384798,-83,22.0
198,1700660384798,1700660384913,-115,-10.0
199,1700660373768,1700660373891,-123,-18.0
200,1700660381944,1700660382056,-112,-7.0
201,1700660370099,1700660370181,-82,23.0
202,1700660370181,1700660370300,-119,-14.0
203,1700660369368,1700660369485,-117,-12.0
204,1700660370689,1700660370768,-79,26.0
205,1700660370910,1700660370996,-86,19.0
206,1700660369454,1700660369568,-114,-9.0
207,1700660369959,1700660370052,-93,12.0
208,1700660381417,1700660381521,-104,1.0
209,1700660381521,1700660381608,-87,18.0
210,1700660373541,1700660373653,-112,-7.0
211,1700660373321,1700660373428,-107,-2.0
212,1700660367468,1700660367582,-114,-9.0
213,1700660372928,1700660373013,-85,20.0
214,1700660372673,1700660372788,-115,-10.0
215,1700660367354,1700660367468,-114,-9.0
216,1700660382167,1700660382279,-112,-7.0
217,1700660382089,1700660382193,-104,1.0
218,1700660367300,1700660367380,-80,25.0
219,1700660376904,1700660377042,-138,-33.0
220,1700660376706,1700660376790,-84,21.0
221,1700660379841,1700660379957,-116,-11.0
222,1700660379762,1700660379873,-111,-6.0
223,1700660376205,1700660376313,-108,-3.0
224,1700660364167,1700660364276,-109,-4.0
225,1700660364077,1700660364188,-111,-6.0
226,1700660385948,1700660386057,-109,-4.0
227,1700660380262,1700660380372,-110,-5.0
228,1700660375950,1700660376092,-142,-37.0
229,1700660388243,1700660388357,-114,-9.0
230,1700660376424,1700660376539,-115,-10.0
231,1700660385472,1700660385584,-112,-7.0
232,1700660385359,1700660385472,-113,-8.0
233,1700660388020,1700660388109,-89,16.0
234,1700660385359,1700660385500,-141,-36.0
235,1700660388020,1700660388129,-109,-4.0
236,1700660376458,1700660376565,-107,-2.0
237,1700660388243,1700660388357,-114,-9.0
238,1700660385500,1700660385584,-84,21.0
239,1700660385977,1700660386057,-80,25.0
240,1700660364077,1700660364188,-111,-6.0
241,1700660375977,1700660376092,-115,-10.0
242,1700660380291,1700660380402,-111,-6.0
243,1700660376232,1700660376313,-81,24.0
