img_id,data_point_0,data_point_1,difference,difference_from_mean
0,1700660500605,1700660501026,-421,10.0
1,1700660500300,1700660500775,-475,-44.0
2,1700660500129,1700660500521,-392,39.0
3,1700660499880,1700660500300,-420,11.0
4,1700660507804,1700660508280,-476,-45.0
5,1700660507748,1700660508163,-415,16.0
6,1700660499682,1700660500076,-394,37.0
7,1700660503880,1700660504329,-449,-18.0
8,1700660503604,1700660504077,-473,-42.0
9,1700660504272,1700660504694,-422,9.0
10,1700660504411,1700660504890,-479,-48.0
11,1700660503208,1700660503656,-448,-17.0
12,1700660503044,1700660503436,-392,39.0
13,1700660504329,1700660504805,-476,-45.0
14,1700660507076,1700660507520,-444,-13.0
15,1700660507132,1700660507606,-474,-43.0
16,1700660506961,1700660507352,-391,40.0
17,1700660506347,1700660506794,-447,-16.0
18,1700660500998,1700660501448,-450,-19.0
19,1700660501308,1700660501672,-364,67.0
20,1700660506429,1700660506908,-479,-48.0
21,1700660497414,1700660497862,-448,-17.0
22,1700660497669,1700660498058,-389,42.0
23,1700660509788,1700660510182,-394,37.0
24,1700660497948,1700660498312,-364,67.0
25,1700660497948,1700660498312,-364,67.0
26,1700660497669,1700660498086,-417,14.0
27,1700660509788,1700660510182,-394,37.0
28,1700660497414,1700660497888,-474,-43.0
29,1700660501334,1700660501696,-362,69.0
30,1700660506461,1700660506908,-447,-16.0
31,1700660506372,1700660506821,-449,-18.0
32,1700660501026,1700660501448,-422,9.0
33,1700660506988,1700660507383,-395,36.0
34,1700660507132,1700660507606,-474,-43.0
35,1700660507043,1700660507496,-453,-22.0
36,1700660503069,1700660503464,-395,36.0
37,1700660504357,1700660504805,-448,-17.0
38,1700660504526,1700660504920,-394,37.0
39,1700660503208,1700660503688,-480,-49.0
40,1700660504299,1700660504720,-421,10.0
41,1700660503604,1700660504077,-473,-42.0
42,1700660503880,1700660504299,-419,12.0
43,1700660507772,1700660508196,-424,7.0
44,1700660499709,1700660500076,-367,64.0
45,1700660499880,1700660500325,-445,-14.0
46,1700660507832,1700660508280,-448,-17.0
47,1700660500157,1700660500553,-396,35.0
48,1700660500300,1700660500775,-475,-44.0
49,1700660500605,1700660500998,-393,38.0
50,1700660500267,1700660500748,-481,-50.0
51,1700660500579,1700660500972,-393,38.0
52,1700660507690,1700660508055,-365,66.0
53,1700660499737,1700660500129,-392,39.0
54,1700660507748,1700660508163,-415,16.0
55,1700660507804,1700660508252,-448,-17.0
56,1700660499909,1700660500352,-443,-12.0
57,1700660503604,1700660504108,-504,-73.0
58,1700660503880,1700660504329,-449,-18.0
59,1700660503464,1700660503880,-416,15.0
60,1700660504357,1700660504861,-504,-73.0
61,1700660502903,1700660503406,-503,-72.0
62,1700660503181,1700660503656,-475,-44.0
63,1700660504555,1700660504946,-391,40.0
64,1700660507100,1700660507580,-480,-49.0
65,1700660507043,1700660507464,-421,10.0
66,1700660500748,1700660501222,-474,-43.0
67,1700660506461,1700660506961,-500,-69.0
68,1700660501308,1700660501642,-334,97.0
69,1700660500998,1700660501419,-421,10.0
70,1700660506401,1700660506853,-452,-21.0
71,1700660497976,1700660498339,-363,68.0
72,1700660509818,1700660510237,-419,12.0
73,1700660509764,1700660510151,-387,44.0
74,1700660497721,1700660498113,-392,39.0
75,1700660509764,1700660510123,-359,72.0
76,1700660497692,1700660498086,-394,37.0
77,1700660497976,1700660498339,-363,68.0
78,1700660509818,1700660510237,-419,12.0
79,1700660500998,1700660501388,-390,41.0
80,1700660506372,1700660506821,-449,-18.0
81,1700660506461,1700660506935,-474,-43.0
82,1700660501140,1700660501642,-502,-71.0
83,1700660500717,1700660501196,-479,-48.0
84,1700660507043,1700660507496,-453,-22.0
85,1700660507100,1700660507580,-480,-49.0
86,1700660503181,1700660503630,-449,-18.0
87,1700660504526,1700660504946,-420,11.0
88,1700660504357,1700660504836,-479,-48.0
89,1700660502903,1700660503406,-503,-72.0
90,1700660503464,1700660503853,-389,42.0
91,1700660503911,1700660504357,-446,-15.0
92,1700660503630,1700660504108,-478,-47.0
93,1700660507804,1700660508221,-417,14.0
94,1700660499909,1700660500325,-416,15.0
95,1700660499709,1700660500104,-395,36.0
96,1700660507716,1700660508140,-424,7.0
97,1700660507661,1700660508025,-364,67.0
98,1700660500579,1700660500998,-419,12.0
99,1700660500267,1700660500748,-481,-50.0
100,1700660500325,1700660500827,-502,-71.0
101,1700660500521,1700660500913,-392,39.0
102,1700660507690,1700660508080,-390,41.0
103,1700660499767,1700660500157,-390,41.0
104,1700660499847,1700660500267,-420,11.0
105,1700660507832,1700660508306,-474,-43.0
106,1700660507410,1700660507860,-450,-19.0
107,1700660503771,1700660504188,-417,14.0
108,1700660503853,1700660504299,-446,-15.0
109,1700660503069,1700660503464,-395,36.0
110,1700660504329,1700660504749,-420,11.0
111,1700660504581,1700660505000,-419,12.0
112,1700660503126,1700660503573,-447,-16.0
113,1700660503573,1700660504022,-449,-18.0
114,1700660507160,1700660507661,-501,-70.0
115,1700660506988,1700660507410,-422,9.0
116,1700660501082,1700660501558,-476,-45.0
117,1700660506625,1700660506988,-363,68.0
118,1700660506347,1700660506765,-418,13.0
119,1700660501026,1700660501473,-447,-16.0
120,1700660500972,1700660501360,-388,43.0
121,1700660497804,1700660498283,-479,-48.0
122,1700660497721,1700660498167,-446,-15.0
123,1700660509565,1700660510068,-503,-72.0
124,1700660497752,1700660498200,-448,-17.0
125,1700660509596,1700660510068,-472,-41.0
126,1700660497804,1700660498283,-479,-48.0
127,1700660500972,1700660501388,-416,15.0
128,1700660506347,1700660506794,-447,-16.0
129,1700660501026,1700660501500,-474,-43.0
130,1700660501082,1700660501584,-502,-71.0
131,1700660506625,1700660507020,-395,36.0
132,1700660506988,1700660507410,-422,9.0
133,1700660507132,1700660507635,-503,-72.0
134,1700660503573,1700660504051,-478,-47.0
135,1700660504612,1700660505029,-417,14.0
136,1700660503153,1700660503573,-420,11.0
137,1700660503098,1700660503489,-391,40.0
138,1700660504329,1700660504780,-451,-20.0
139,1700660503853,1700660504272,-419,12.0
140,1700660503771,1700660504163,-392,39.0
141,1700660507437,1700660507885,-448,-17.0
142,1700660499880,1700660500267,-387,44.0
143,1700660507832,1700660508306,-474,-43.0
144,1700660507690,1700660508080,-390,41.0
145,1700660499796,1700660500188,-392,39.0
146,1700660500521,1700660500913,-392,39.0
147,1700660500325,1700660500804,-479,-48.0
148,1700660500553,1700660500940,-387,44.0
149,1700660500325,1700660500827,-502,-71.0
150,1700660507860,1700660508364,-504,-73.0
151,1700660499847,1700660500244,-397,34.0
152,1700660499767,1700660500157,-390,41.0
153,1700660507716,1700660508108,-392,39.0
154,1700660500244,1700660500717,-473,-42.0
155,1700660503826,1700660504245,-419,12.0
156,1700660503630,1700660504136,-506,-75.0
157,1700660503153,1700660503630,-477,-46.0
158,1700660504555,1700660504972,-417,14.0
159,1700660504299,1700660504749,-450,-19.0
