img_id,data_point_0,data_point_1,difference,difference_from_mean
0,1700645111650,1700645111788,-138,-5.0
1,1700645111399,1700645111538,-139,-6.0
2,1700645111149,1700645111315,-166,-33.0
3,1700645110924,1700645111064,-140,-7.0
4,1700645108741,1700645108880,-139,-6.0
5,1700645108934,1700645109073,-139,-6.0
6,1700645109160,1700645109300,-140,-7.0
7,1700645109215,1700645109327,-112,21.0
8,1700645108962,1700645109104,-142,-9.0
9,1700645108768,1700645108906,-138,-5.0
10,1700645110980,1700645111092,-112,21.0
11,1700645111201,1700645111315,-114,19.0
12,1700645111399,1700645111567,-168,-35.0
13,1700645111650,1700645111772,-122,11.0
14,1700645111623,1700645111734,-111,22.0
15,1700645111005,1700645111121,-116,17.0
16,1700645111201,1700645111344,-143,-10.0
17,1700645109215,1700645109353,-138,-5.0
18,1700645108991,1700645109129,-138,-5.0
19,1700645108962,1700645109104,-142,-9.0
20,1700645109215,1700645109353,-138,-5.0
21,1700645111201,1700645111344,-143,-10.0
22,1700645110980,1700645111092,-112,21.0
23,1700645111623,1700645111734,-111,22.0
24,1700645111036,1700645111174,-138,-5.0
25,1700645111121,1700645111260,-139,-6.0
26,1700645109160,1700645109269,-109,24.0
27,1700645109048,1700645109185,-137,-4.0
28,1700645109073,1700645109185,-112,21.0
29,1700645109160,1700645109300,-140,-7.0
30,1700645111149,1700645111285,-136,-3.0
31,1700645111064,1700645111201,-137,-4.0
32,1700645111121,1700645111260,-139,-6.0
33,1700645111005,1700645111149,-144,-11.0
34,1700645111593,1700645111734,-141,-8.0
35,1700645109017,1700645109160,-143,-10.0
36,1700645109104,1700645109269,-165,-32.0
37,1700645108934,1700645109048,-114,19.0
38,1700645108934,1700645109048,-114,19.0
39,1700645109104,1700645109240,-136,-3.0
40,1700645109017,1700645109129,-112,21.0
41,1700645111567,1700645111704,-137,-4.0
42,1700645111005,1700645111149,-144,-11.0
43,1700645111121,1700645111230,-109,24.0
44,1700645110897,1700645111036,-139,-6.0
45,1700645110672,1700645110780,-108,25.0
46,1700645109942,1700645110081,-139,-6.0
47,1700645110168,1700645110308,-140,-7.0
48,1700645109327,1700645109465,-138,-5.0
49,1700645109578,1700645109692,-114,19.0
50,1700645109551,1700645109665,-114,19.0
51,1700645109327,1700645109439,-112,21.0
52,1700645110193,1700645110308,-115,18.0
53,1700645109971,1700645110081,-110,23.0
54,1700645110641,1700645110780,-139,-6.0
55,1700645110868,1700645111005,-137,-4.0
56,1700645110418,1700645110530,-112,21.0
57,1700645110615,1700645110752,-137,-4.0
58,1700645110840,1700645110980,-140,-7.0
59,1700645110193,1700645110364,-171,-38.0
60,1700645110003,1700645110140,-137,-4.0
61,1700645109749,1700645109887,-138,-5.0
62,1700645109521,1700645109638,-117,16.0
63,1700645109269,1700645109412,-143,-10.0
64,1700645109300,1700645109412,-112,21.0
65,1700645109521,1700645109665,-144,-11.0
66,1700645109749,1700645109887,-138,-5.0
67,1700645109971,1700645110110,-139,-6.0
68,1700645110193,1700645110337,-144,-11.0
69,1700645110868,1700645110980,-112,21.0
70,1700645110615,1700645110752,-137,-4.0
71,1700645110418,1700645110561,-143,-10.0
72,1700645110701,1700645110810,-109,24.0
73,1700645110752,1700645110924,-172,-39.0
74,1700645110589,1700645110725,-136,-3.0
75,1700645110140,1700645110279,-139,-6.0
76,1700645110054,1700645110168,-114,19.0
77,1700645109465,1700645109578,-113,20.0
78,1700645109353,1700645109496,-143,-10.0
79,1700645109917,1700645110054,-137,-4.0
80,1700645109917,1700645110054,-137,-4.0
81,1700645109353,1700645109465,-112,21.0
82,1700645109439,1700645109578,-139,-6.0
83,1700645110054,1700645110193,-139,-6.0
84,1700645110168,1700645110279,-111,22.0
85,1700645110561,1700645110701,-140,-7.0
86,1700645110752,1700645110897,-145,-12.0
87,1700645110672,1700645110810,-138,-5.0
88,1700645110810,1700645110949,-139,-6.0
89,1700645110701,1700645110840,-139,-6.0
90,1700645110024,1700645110140,-116,17.0
91,1700645110110,1700645110252,-142,-9.0
92,1700645109353,1700645109496,-143,-10.0
93,1700645109465,1700645109607,-142,-9.0
94,1700645109465,1700645109607,-142,-9.0
95,1700645109412,1700645109521,-109,24.0
96,1700645110110,1700645110224,-114,19.0
97,1700645110024,1700645110140,-116,17.0
98,1700645110701,1700645110840,-139,-6.0
99,1700645110810,1700645110949,-139,-6.0
100,1700645110561,1700645110672,-111,22.0
101,1700645110308,1700645110449,-141,-8.0
102,1700645110110,1700645110224,-114,19.0
103,1700645109638,1700645109777,-139,-6.0
104,1700645109861,1700645110003,-142,-9.0
105,1700645109887,1700645110024,-137,-4.0
106,1700645109665,1700645109777,-112,21.0
107,1700645110054,1700645110193,-139,-6.0
108,1700645110308,1700645110449,-141,-8.0
109,1700645110561,1700645110672,-111,22.0
110,1700645110752,1700645110897,-145,-12.0
111,1700645110308,1700645110418,-110,23.0
112,1700645110500,1700645110641,-141,-8.0
113,1700645109412,1700645109551,-139,-6.0
114,1700645109861,1700645110003,-142,-9.0
115,1700645109607,1700645109749,-142,-9.0
116,1700645109607,1700645109749,-142,-9.0
117,1700645109861,1700645109971,-110,23.0
118,1700645109412,1700645109551,-139,-6.0
119,1700645110500,1700645110641,-141,-8.0
120,1700645110252,1700645110418,-166,-33.0
121,1700645110752,1700645110868,-116,17.0
122,1700645110337,1700645110473,-136,-3.0
123,1700645110449,1700645110589,-140,-7.0
124,1700645110924,1700645111036,-112,21.0
125,1700645109749,1700645109917,-168,-35.0
126,1700645109665,1700645109804,-139,-6.0
127,1700645109578,1700645109716,-138,-5.0
128,1700645109578,1700645109716,-138,-5.0
129,1700645109692,1700645109831,-139,-6.0
130,1700645109804,1700645109917,-113,20.0
131,1700645110924,1700645111064,-140,-7.0
132,1700645110473,1700645110589,-116,17.0
133,1700645110364,1700645110500,-136,-3.0
134,1700645110473,1700645110615,-142,-9.0
135,1700645110393,1700645110530,-137,-4.0
136,1700645110252,1700645110364,-112,21.0
137,1700645109716,1700645109861,-145,-12.0
138,1700645109831,1700645109942,-111,22.0
139,1700645109804,1700645109942,-138,-5.0
140,1700645109716,1700645109831,-115,18.0
141,1700645110252,1700645110393,-141,-8.0
142,1700645110364,1700645110500,-136,-3.0
143,1700645110473,1700645110615,-142,-9.0
144,1700645111092,1700645111230,-138,-5.0
145,1700645111511,1700645111650,-139,-6.0
146,1700645111285,1700645111424,-139,-6.0
147,1700645109073,1700645109215,-142,-9.0
148,1700645108629,1700645108768,-139,-6.0
149,1700645108880,1700645108991,-111,22.0
150,1700645108853,1700645108962,-109,24.0
151,1700645109073,1700645109215,-142,-9.0
152,1700645111260,1700645111399,-139,-6.0
153,1700645111511,1700645111650,-139,-6.0
154,1700645111064,1700645111201,-137,-4.0
155,1700645111285,1700645111424,-139,-6.0
156,1700645111511,1700645111680,-169,-36.0
157,1700645108880,1700645109017,-137,-4.0
158,1700645108629,1700645108768,-139,-6.0
159,1700645108654,1700645108796,-142,-9.0
160,1700645108880,1700645109017,-137,-4.0
161,1700645111567,1700645111680,-113,20.0
162,1700645111315,1700645111464,-149,-16.0
163,1700645111399,1700645111538,-139,-6.0
164,1700645111481,1700645111623,-142,-9.0
165,1700645108823,1700645108962,-139,-6.0
166,1700645108708,1700645108853,-145,-12.0
167,1700645108708,1700645108823,-115,18.0
168,1700645108823,1700645108934,-111,22.0
169,1700645111464,1700645111593,-129,4.0
170,1700645111344,1700645111511,-167,-34.0
171,1700645111464,1700645111567,-103,30.0
172,1700645111344,1700645111481,-137,-4.0
173,1700645111230,1700645111373,-143,-10.0
174,1700645108654,1700645108823,-169,-36.0
