img_id,data_point_0,data_point_1,difference,difference_from_mean
1,1700571758926,1700571759006,-80,14.0
2,1700571758841,1700571758926,-85,9.0
3,1700571758755,1700571758866,-111,-17.0
4,1700571758704,1700571758811,-107,-13.0
5,1700571759093,1700571759148,-55,39.0
6,1700571759093,1700571759204,-111,-17.0
7,1700571756740,1700571756823,-83,11.0
8,1700571756962,1700571757046,-84,10.0
9,1700571757159,1700571757242,-83,11.0
10,1700571757159,1700571757274,-115,-21.0
12,1700571756740,1700571756852,-112,-18.0
13,1700571759148,1700571759204,-56,38.0
14,1700571759093,1700571759176,-83,11.0
15,1700571758727,1700571758811,-84,10.0
16,1700571758755,1700571758866,-111,-17.0
17,1700571758866,1700571758926,-60,34.0
18,1700571758866,1700571758980,-114,-20.0
19,1700571758950,1700571759038,-88,6.0
20,1700571758866,1700571758980,-114,-20.0
21,1700571758950,1700571759038,-88,6.0
22,1700571758727,1700571758841,-114,-20.0
23,1700571758755,1700571758866,-111,-17.0
24,1700571759038,1700571759093,-55,39.0
25,1700571759093,1700571759204,-111,-17.0
26,1700571759093,1700571759148,-55,39.0
27,1700571757242,1700571757299,-57,37.0
28,1700571757017,1700571757104,-87,7.0
30,1700571757159,1700571757274,-115,-21.0
31,1700571759038,1700571759148,-110,-16.0
32,1700571759093,1700571759204,-111,-17.0
34,1700571758755,1700571758866,-111,-17.0
35,1700571758727,1700571758811,-84,10.0
36,1700571758950,1700571759038,-88,6.0
37,1700571758866,1700571758980,-114,-20.0
38,1700571758926,1700571759006,-80,14.0
39,1700571758926,1700571759038,-112,-18.0
40,1700571758727,1700571758841,-114,-20.0
41,1700571758755,1700571758866,-111,-17.0
42,1700571759093,1700571759176,-83,11.0
43,1700571759093,1700571759176,-83,11.0
44,1700571759038,1700571759120,-82,12.0
45,1700571757134,1700571757215,-81,13.0
46,1700571757017,1700571757134,-117,-23.0
48,1700571757159,1700571757242,-83,11.0
49,1700571759038,1700571759148,-110,-16.0
50,1700571759093,1700571759176,-83,11.0
51,1700571759093,1700571759204,-111,-17.0
52,1700571758755,1700571758866,-111,-17.0
53,1700571758727,1700571758841,-114,-20.0
55,1700571758926,1700571759006,-80,14.0
56,1700571758926,1700571759038,-112,-18.0
57,1700571758926,1700571759006,-80,14.0
58,1700571758755,1700571758866,-111,-17.0
59,1700571758727,1700571758841,-114,-20.0
60,1700571758866,1700571758980,-114,-20.0
61,1700571759093,1700571759176,-83,11.0
62,1700571759093,1700571759204,-111,-17.0
63,1700571757017,1700571757134,-117,-23.0
64,1700571757134,1700571757215,-81,13.0
65,1700571756962,1700571757046,-84,10.0
66,1700571756908,1700571756995,-87,7.0
68,1700571757017,1700571757104,-87,7.0
69,1700571759093,1700571759204,-111,-17.0
70,1700571759093,1700571759176,-83,11.0
72,1700571758727,1700571758841,-114,-20.0
73,1700571758755,1700571758841,-86,8.0
74,1700571758926,1700571759006,-80,14.0
75,1700571758950,1700571759038,-88,6.0
76,1700571758704,1700571758811,-107,-13.0
77,1700571758589,1700571758704,-115,-21.0
78,1700571759288,1700571759401,-113,-19.0
79,1700571759373,1700571759457,-84,10.0
80,1700571759259,1700571759345,-86,8.0
81,1700571759148,1700571759233,-85,9.0
82,1700571759176,1700571759288,-112,-18.0
84,1700571758169,1700571758251,-82,12.0
85,1700571757299,1700571757410,-111,-17.0
86,1700571757525,1700571757639,-114,-20.0
87,1700571757495,1700571757608,-113,-19.0
89,1700571758194,1700571758280,-86,8.0
90,1700571757944,1700571758057,-113,-19.0
91,1700571759176,1700571759288,-112,-18.0
92,1700571759148,1700571759233,-85,9.0
93,1700571759259,1700571759345,-86,8.0
95,1700571759288,1700571759401,-113,-19.0
96,1700571758589,1700571758673,-84,10.0
97,1700571758704,1700571758784,-80,14.0
98,1700571758421,1700571758477,-56,38.0
99,1700571758589,1700571758673,-84,10.0
100,1700571758704,1700571758755,-51,43.0
101,1700571759373,1700571759457,-84,10.0
